key,remarks,level,exp
1,,1,240
2,,2,240
3,,3,240
4,,4,240
5,,5,240
6,,6,320
7,,7,400
8,,8,520
9,,9,600
10,,10,720
11,,11,840
12,,12,880
13,,13,880
14,,14,920
15,,15,960
16,,16,1280
17,,17,1320
18,,18,1360
19,,19,1400
20,,20,1440
21,,21,1920
22,,22,1960
23,,23,2000
24,,24,2040
25,,25,2080
26,,26,2600
27,,27,2640
28,,28,2680
29,,29,2720
30,,30,2760
31,,31,4800
32,,32,5000
33,,33,5200
34,,34,5400
35,,35,5600
36,,36,6400
37,,37,7200
38,,38,8000
39,,39,8800
40,,40,9600
41,,41,12000
42,,42,13200
43,,43,14800
44,,44,16400
45,,45,18000
46,,46,20000
47,,47,21600
48,,48,23600
49,,49,25600
50,,50,28000
51,,51,30000
52,,52,32400
53,,53,34800
54,,54,37200
55,,55,40000
56,,56,44000
57,,57,44000
58,,58,48000
59,,59,52000
60,,60,56000
61,,61,60000
62,,62,60000
63,,63,64000
64,,64,68000
65,,65,72000
66,,66,80000
67,,67,84000
68,,68,88000
69,,69,92000
70,,70,96000
71,,71,104000
72,,72,108000
73,,73,112000
74,,74,120000
75,,75,124000
76,,76,132000
77,,77,140000
78,,78,144000
79,,79,152000
80,,80,160000
81,,81,168000
82,,82,176000
83,,83,184000
84,,84,192000
85,,85,204000
86,,86,212000
87,,87,220000
88,,88,228000
89,,89,236000
90,,90,244000
