key,Remarks,id,chinese,attrType,sort,type,digit,classify
lifeGrowUp,,lifeGrowUp,生命成长,35,1,2,1,3
pAttackGrowUp,,pAttackGrowUp,物攻成长,36,2,2,1,3
sAttackGrowUp,,sAttackGrowUp,法攻成长,33,3,2,1,3
physicqueDefGrowUp,,physicqueDefGrowUp,物防成长,37,4,2,1,3
spiritDefGrowUp,,spiritDefGrowUp,法防成长,38,5,2,1,3
life,,life,生命,1,6,1,,1
physiqueAttack,,physiqueAttack,物理攻击,5,7,1,,1
spiritAttack,,spiritAttack,法术攻击,23,8,1,,1
physiqueDef,,physiqueDef,物理防御,6,9,1,,1
spiritDef,,spiritDef,法术防御,7,10,1,,1
hit,,hit,命中,14,15,1,,2
dodge,,dodge,闪避,13,16,1,,2
attackVampire,,attackVampire,吸血,8,17,1,,2
critical,,critical,暴击,9,18,1,,2
criticalHurt,,criticalHurt,暴击伤害,10,20,3,1,2
toughness,,toughness,韧性,11,19,1,,2
lifeReceive,,lifeReceive,生命回复,12,11,1,,1
energyReceive,,energyReceive,能量回复,15,12,1,,1
attackSpeed,,attackSpeed,攻击速度,20,13,3,1,1
attackHurt,,attackHurt,伤害增加,43,22,3,1,2
cutHurt,,cutHurt,伤害减免,24,23,3,1,2
cutCritHurt,,cutCritHurt,暴伤减免,25,21,3,1,2
resist,,resist,抵抗,26,14,1,,1
energy,,energy,能量,3,,,,
struckEnergy,,struckEnergy,击杀增加能量,16,,,,
attackEnergy,,attackEnergy,攻击增加能量,17,,,,
energyTrans,,energyTrans,能量转化,18,,,,
addCure,,addCure,受到治疗效果增加,27,,,,
cutCure,,cutCure,受到治疗效果降低,28,,,,
treatStrengthen,,treatStrengthen,治疗加强,,,,,
energyPerSecond,,energyPerSecond,每秒回复能量,42,,,,
hardStraight,,hardStraight,硬直界限,30,,,,
reactionTime,,reactionTime,反应时间,29,,,,
attackDistance,,attackDistance,攻击距离,19,,,,
moveSpeed,,moveSpeed,移动速度,22,,,,
viewRange,,viewRange,视野范围,44,,,,
volumeRadius,,volumeRadius,人物半径,45,,,,
doHurt,,doHurt,硬直阀值,46,,,,
skillLevel,,skillLevel,技能总等级,,,,,
attackType,,attackType,攻击类型,,,,,
lifepercent,,lifepercent,生命百分比,,,,,
attackpercent,,attackpercent,攻击百分比,,,,,
physiqueDefpercent,,physiqueDefpercent,物理防御百分比,,,,,
spiritDefpercent,,spiritDefpercent,法术防御百分比,,,,,
skillDamage,,skillDamage,技能伤害,,,,,
