id,Remarks,isWindow,windowName,topBar,slideMenu
MainCopyView,,1,MainCopyView,,1
CopyLevelDetailsView,,1,CopyLevelDetailsView,1,
CopySweepView,,1,CopySweepView,,
EmbattleView,,1,EmbattleView,,
UIBattle,,1,UIBattle,,
UIBattlePause,,1,UIBattlePause,,
BattleResultView,,1,BattleResultView,,
UILoseBAT,,1,UILoseBAT,,
HurtInfoView,,1,HurtInfoView,,
UICareer,,1,UICareer,,
UIItemCompose,,1,UIItemCompose,,
UIMagicWeapon,,1,UIMagicWeapon,1,
UIMagicWeaponForge,,1,UIMagicWeaponForge,,
UIMagicWeaponSmelt,,1,UIMagicWeaponSmelt,,
UIMagicWeaponAdvance,,1,UIMagicWeaponAdvance,,
UIItemBag,,1,UIItemBag,1,1
UIItemSell,,1,UIItemSell,,
UIHeroExpConsume,,1,UIHeroExpConsume,,
null,,1,null,,
UIGoldpoint,,1,UIGoldpoint,,
UIContinuousGoldpoint,,1,UIContinuousGoldpoint,,
UIRoleList,,1,UIRoleList,1,1
UIRole,,1,UIRole,1,
UIUpgareStar,,1,UIUpgareStar,,
UIRoleAdvanceSucceed,,1,UIRoleAdvanceSucceed,,
UIEquipAttach,,1,UIEquipAttach,,
UIGainHero,,1,UIGainHero,,
UIGainHeroScene,,1,UIGainHeroScene,,
UIItemGain,,1,UIItemGain,,
UIPVETrial,,1,UIPVETrial,,1
UIPVETrialIntro,,1,UIPVETrialIntro,,
UIPVETrial,,1,UIPVETrial,,1
UIPVECelesTialIntro,,1,UIPVECelesTialIntro,,
UIGamble,,1,UIGamble,1,
UIGamble,,1,UIGamble,1,
UIGambleReward,,1,UIGambleReward,1,
UIEmailList,,1,UIEmailList,,
UIEmailContent,,1,UIEmailContent,,
UIChatRoleInfo,,1,UIChatRoleInfo,,
UIRankingMain,,1,UIRankingMain,,
UIRankingItemInfo,,1,UIRankingItemInfo,,
CareerLogic,,1,CareerLogic,,
UIEquipCompose,,1,UIEquipCompose,,
UIEquipInfo,,1,UIEquipInfo,,
UIFriend,,1,UIFriend,1,1
UIFriendPopup,,1,UIFriendPopup,,
UIPVEEntry,,1,UIPVEEntry,1,1
UIPVPEntry,,1,UIPVPEntry,1,1
