key,Remarks,level,playerUpgradeExp,heroUpgradeExp
1,,1,45,80
2,,2,50,120
3,,3,50,130
4,,4,50,140
5,,5,50,280
6,,6,60,300
7,,7,60,320
8,,8,60,330
9,,9,80,680
10,,10,90,710
11,,11,100,740
12,,12,150,1150
13,,13,200,1200
14,,14,200,1240
15,,15,300,1300
16,,16,410,1300
17,,17,490,2000
18,,18,580,3000
19,,19,680,4300
20,,20,1150,8400
21,,21,1260,9300
22,,22,1400,10000
23,,23,1500,11000
24,,24,1700,13000
25,,25,1800,13000
26,,26,1800,14000
27,,27,1900,15000
28,,28,2000,16000
29,,29,2100,16000
30,,30,2200,17000
31,,31,2300,19000
32,,32,2500,20000
33,,33,2600,21000
34,,34,2700,22000
35,,35,2900,24000
36,,36,3000,25000
37,,37,3200,27000
38,,38,3300,29000
39,,39,3500,31000
40,,40,3700,33000
41,,41,3900,35000
42,,42,4100,38000
43,,43,5600,58100
44,,44,7100,83200
45,,45,8700,113800
46,,46,10000,150000
47,,47,12000,194000
48,,48,14000,245000
49,,49,16000,304000
50,,50,18000,373000
