key,remarks,times,vipLevel,time
1,,3,,300
2,,3,1,
3,,10,,1800
4,,10,1,60
5,,10,3,
6,,20,,2700
7,,20,1,300
8,,20,3,60
9,,20,7,
10,,30,,3600
11,,30,1,600
12,,30,3,300
13,,30,7,60
14,,30,10,
15,,40,,5400
16,,40,1,900
17,,40,3,600
18,,40,7,300
19,,40,10,60
20,,50,,10800
21,,50,1,1800
22,,50,2,1800
23,,50,3,900
24,,50,7,600
25,,50,10,300
26,,60,,21600
27,,60,1,2700
28,,60,3,1800
29,,60,7,900
30,,60,10,600
31,,70,,43200
32,,70,1,3600
33,,70,3,2700
34,,70,7,1800
35,,70,10,900
36,,80,,64800
37,,80,1,5400
38,,80,3,3600
39,,80,7,2700
40,,80,10,1800
41,,90,,-1
42,,90,1,10800
43,,90,3,5400
44,,90,7,3600
45,,90,10,2700
46,,100,,-1
47,,100,1,21600
48,,100,2,10800
49,,100,6,5400
50,,100,10,3600
