key,Remarks,dropType,levelSegment,goods,freeFirstDrop,chargeFirstDrop,moneyType,moneyNum,openCondition,recoverTime,freeCountPerDay,dropItemCount,ordinaryFreePlan,guaranteeFreeCheckList,guaranteeFreePlan,guaranteeFreeCheckNum,ordinaryPlan,guaranteeCheckList,guaranteePlan,guaranteeCheckNum,hotCount,hotCheckRange
1,,1,1~20,803001,,,Coin,10000,"0,0",600,5,1,"1_4030,2_1950,3_1460,6_100,7_10","1,2","1_4030,2_1950,3_1460,6_100,7_10",1,"1_4030,2_1950,3_1460,6_100,7_10","1,2","1_4030,2_1950,3_1460,6_100,7_10",1,,
2,,2,1~20,803002,12,12,Gold,248,"0,0",165600,1,1,"1_1000,3_3389,4_500,6_4500,7_1111","1,2","1_4030,2_1950,3_1460,6_100,7_10",2,"1_1000,3_3389,4_500,6_4500,7_1111","1,2","1_4030,2_1950,3_1460,6_100,7_10",2,,
3,,3,1~20,803003,,,Gold,388,"0,11",,,6,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",5,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",5,1,23~27
4,,4,1~20,803001,,,Coin,90000,"0,0",,,10,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",3,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",3,,
5,,5,1~20,803002,,,Gold,2232,"0,0",,,10,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",4,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",4,,
6,,1,21~40,803001,,,Coin,10000,"0,0",600,5,1,"1_4030,2_1950,3_1460,6_100,7_10","1,2","1_4030,2_1950,3_1460,6_100,7_10",1,"1_4030,2_1950,3_1460,6_100,7_10","1,2","1_4030,2_1950,3_1460,6_100,7_10",1,,
7,,2,21~40,803002,12,12,Gold,248,"0,0",165600,1,1,"1_1000,3_3389,4_500,6_4500,7_1111","1,2","1_4030,2_1950,3_1460,6_100,7_10",2,"1_1000,3_3389,4_500,6_4500,7_1111","1,2","1_4030,2_1950,3_1460,6_100,7_10",2,,
8,,3,21~40,803003,,,Gold,388,"0,11",,,6,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",5,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",5,1,23~27
9,,4,21~40,803001,,,Coin,90000,"0,0",,,10,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",3,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",3,,
10,,5,21~40,803002,,,Gold,2232,"0,0",,,10,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",4,"1_6,2_4","1,2","1_4030,2_1950,3_1460,6_100,7_10",4,,
