key,Remarks,weightGroup,itemID,weight,max,belong,order,f1,f2
1,,1,700174,7,1,"1,0,0",,金币抽卡,
2,,1,700181,7,1,"1,0,0",,金币抽卡,
3,,1,700189,7,1,"1,0,0",,金币抽卡,
4,,1,700148,7,1,"1,0,0",,金币抽卡,
5,,1,700157,7,1,"1,0,0",,金币抽卡,
6,,1,700166,7,1,"1,0,0",,金币抽卡,
7,,1,700100,7,1,"1,0,0",,金币抽卡,
8,,1,700112,7,1,"1,0,0",,金币抽卡,
9,,1,700124,7,1,"1,0,0",,金币抽卡,
10,,1,700136,7,1,"1,0,0",,金币抽卡,
11,,1,700091,7,1,"1,0,0",,金币抽卡,
12,,1,700061,7,1,"1,0,0",,金币抽卡,
13,,1,700073,16,1,"1,0,0",,金币抽卡,
14,,1,803001,20,1,"1,0,0",,金币抽卡,
15,,1,803002,1,1,"1,0,0",,金币抽卡,
16,,2,700190,4,1,"1,0,0",,金币抽卡,
17,,2,700149,4,1,"1,0,0",,金币抽卡,
18,,2,700167,4,1,"1,0,0",,金币抽卡,
19,,2,700101,4,1,"1,0,0",,金币抽卡,
20,,2,700113,4,1,"1,0,0",,金币抽卡,
21,,2,700125,4,1,"1,0,0",,金币抽卡,
22,,2,700137,4,1,"1,0,0",,金币抽卡,
23,,2,700175,4,1,"1,0,0",,金币抽卡,
24,,2,700182,4,1,"1,0,0",,金币抽卡,
25,,2,700158,4,1,"1,0,0",,金币抽卡,
26,,2,700102,4,1,"1,0,0",,金币抽卡,
27,,2,700114,4,1,"1,0,0",,金币抽卡,
28,,2,700126,4,1,"1,0,0",,金币抽卡,
29,,2,700138,4,1,"1,0,0",,金币抽卡,
30,,3,700191,5,1,"1,0,0",,金币抽卡,
31,,3,700150,5,1,"1,0,0",,金币抽卡,
32,,3,700159,5,1,"1,0,0",,金币抽卡,
33,,3,700168,5,3,"1,0,0",,金币抽卡,
34,,3,700103,5,3,"1,0,0",,金币抽卡,
35,,3,700115,5,1,"1,0,0",,金币抽卡,
36,,3,700127,5,1,"1,0,0",,金币抽卡,
37,,3,700139,5,1,"1,0,0",,金币抽卡,
38,,3,700092,5,1,"1,0,0",,金币抽卡,
39,,3,700096,5,1,"1,0,0",,金币抽卡,
40,,3,700176,5,1,"1,0,0",,金币抽卡,
41,,3,700183,5,1,"1,0,0",,金币抽卡,
42,,3,700192,5,1,"1,0,0",,金币抽卡,
43,,3,700151,5,1,"1,0,0",,金币抽卡,
44,,3,700169,5,1,"1,0,0",,金币抽卡,
45,,3,700104,5,1,"1,0,0",,金币抽卡,
46,,3,700116,5,1,"1,0,0",,金币抽卡,
47,,3,700128,5,1,"1,0,0",,金币抽卡,
48,,3,700140,5,1,"1,0,0",,金币抽卡,
49,,3,700184,5,1,"1,0,0",,金币抽卡,
50,,3,700152,5,1,"1,0,0",,金币抽卡,
51,,3,700160,5,1,"1,0,0",,金币抽卡,
52,,3,700105,5,1,"1,0,0",,金币抽卡,
53,,3,700117,5,1,"1,0,0",,金币抽卡,
54,,3,700129,5,1,"1,0,0",,金币抽卡,
55,,3,700141,5,1,"1,0,0",,金币抽卡,
56,,6,704019,100,1,"1,0,0",,金币抽卡,
57,,6,704004,70,1,"1,0,0",,金币抽卡,
58,,6,704001,50,1,"1,0,0",,金币抽卡,
59,,6,704007,10,1,"1,0,0",,金币抽卡,
60,,6,704006,1,1,"1,0,0",,金币抽卡,
61,,7,200003_1,100,1,"1,0,0",,金币抽卡,
62,,7,204001_1,70,1,"1,0,0",,金币抽卡,
63,,7,202001_3,50,1,"1,0,0",,金币抽卡,
64,,7,201012_1,10,1,"1,0,0",,金币抽卡,
65,,7,200011_1,1,1,"1,0,0",,金币抽卡,
66,,1,803003,1,1,"0,2,0",,,
67,,3,700191,5,1,"0,2,0",,,
68,,3,700150,5,1,"0,2,0",,,
69,,3,700159,5,1,"0,2,0",,,
70,,3,700168,5,1,"0,2,0",,,
71,,3,700103,5,1,"0,2,0",,,
72,,3,700115,5,1,"0,2,0",,,
73,,3,700127,5,1,"0,2,0",,,
74,,3,700139,5,1,"0,2,0",,,
75,,3,700092,5,1,"0,2,0",,,
76,,3,700096,5,1,"0,2,0",,,
77,,3,700064,5,1,"0,2,0",,,
78,,3,700076,5,1,"0,2,0",,,
79,,3,700004,5,1,"0,2,0",,,
80,,3,700016,5,1,"0,2,0",,,
81,,3,700028,5,1,"0,2,0",,,
82,,3,700040,5,1,"0,2,0",,,
83,,3,700176,5,1,"0,2,0",,,
84,,3,700183,5,1,"0,2,0",,,
85,,3,700192,5,1,"0,2,0",,,
86,,3,700151,5,1,"0,2,0",,,
87,,3,700169,5,1,"0,2,0",,,
88,,3,700104,5,1,"0,2,0",,,
89,,3,700116,5,1,"0,2,0",,,
90,,3,700128,5,1,"0,2,0",,,
91,,3,700140,5,1,"0,2,0",,,
92,,3,700065,5,1,"0,2,0",,,
93,,3,700077,5,1,"0,2,0",,,
94,,3,700005,5,1,"0,2,0",,,
95,,3,700017,5,1,"0,2,0",,,
96,,3,700029,5,1,"0,2,0",,,
97,,3,700041,5,1,"0,2,0",,,
98,,3,700184,5,1,"0,2,0",,,
99,,3,700152,5,1,"0,2,0",,,
100,,3,700160,5,1,"0,2,0",,,
101,,3,700105,5,1,"0,2,0",,,
102,,3,700117,5,1,"0,2,0",,,
103,,3,700129,5,1,"0,2,0",,,
104,,3,700141,5,1,"0,2,0",,,
105,,3,700066,5,1,"0,2,0",,,
106,,3,700078,5,1,"0,2,0",,,
107,,3,700006,5,1,"0,2,0",,,
108,,3,700018,5,1,"0,2,0",,,
109,,3,700030,5,1,"0,2,0",,,
110,,3,700042,5,1,"0,2,0",,,
111,,4,700177,6,1,"0,2,0",,5,
112,,4,700193,6,1,"0,2,0",,5,
113,,4,700161,6,1,"0,2,0",,4,
114,,4,700170,6,1,"0,2,0",,4,
115,,4,700106,6,1,"0,2,0",,3,
116,,4,700118,6,1,"0,2,0",,3,
117,,4,700130,6,1,"0,2,0",,3,
118,,4,700142,6,1,"0,2,0",,3,
119,,4,700093,6,1,"0,2,0",,2,
120,,4,700097,6,1,"0,2,0",,2,
121,,4,700067,6,1,"0,2,0",,1,
122,,4,700079,6,1,"0,2,0",,1,
123,,4,700085,6,1,"0,2,0",,1,
