Key,Remarks,targetSoulItemId,exchangeLimit
704001,,704001,3
704002,,704002,5
704003,,704003,5
704004,,704004,3
704005,,704005,8
704008,,704008,6
704009,,704009,3
704010,,704010,6
704011,,704011,3
704012,,704012,8
704013,,704013,5
704014,,704014,5
704015,,704015,6
704016,,704016,5
704017,,704017,6
704018,,704018,3
704019,,704019,3
704020,,704020,5
704021,,704021,8
704022,,704022,6
704023,,704023,5
704024,,704024,5
704025,,704025,6
704026,,704026,6
704027,,704027,6
704028,,704028,8
704029,,704029,6
704030,,704030,5
704031,,704031,8
704032,,704032,8
704034,,704034,8
704035,,704035,6
704037,,704037,6
704038,,704038,6
704039,,704039,6
704040,,704040,3
704041,,704041,3
