key,remarks,quality,colorName,color,qualityBG,mainRoleInBattleBG,activeSkill,magicLittleColor
0,,,白色,[ffffff],bg_head_BaiSe,bg_head_BaiSe,,GeZi_FaBao_BaiSe
1,,1,绿色,[25ae00],bg_head_LvSe,bg_head_LvSe,1,GeZi_FaBao_LvSe
2,,2,绿色+1,[25ae00],bg_head_LvSe_01,bg_head_LvSe_01,,GeZi_FaBao_LvSe
3,,3,绿色+2,[25ae00],bg_head_LvSe_02,bg_head_LvSe_02,,GeZi_FaBao_LvSe
4,,4,蓝色,[0099cc],bg_head_LanSe,bg_head_LanSe,1,GeZi_FaBao_LanSe
5,,5,蓝色+1,[0099cc],bg_head_LanSe_01,bg_head_LanSe_01,,GeZi_FaBao_LanSe
6,,6,蓝色+2,[0099cc],bg_head_LanSe_02,bg_head_LanSe_02,,GeZi_FaBao_LanSe
7,,7,蓝色+3,[0099cc],bg_head_LanSe_03,bg_head_LanSe_03,,GeZi_FaBao_LanSe
8,,8,紫色,[ff26e4],bg_head_ZiSe,bg_head_ZiSe,1,GeZi_FaBao_ZiSe
9,,9,紫色+1,[ff26e4],bg_head_ZiSe_01,bg_head_ZiSe_01,,GeZi_FaBao_ZiSe
10,,10,紫色+2,[ff26e4],bg_head_ZiSe_02,bg_head_ZiSe_02,,GeZi_FaBao_ZiSe
11,,11,紫色+3,[ff26e4],bg_head_ZiSe_03,bg_head_ZiSe_03,,GeZi_FaBao_ZiSe
12,,12,紫色+4,[ff26e4],bg_head_ZiSe_04,bg_head_ZiSe_04,,GeZi_FaBao_ZiSe
13,,13,橙色,[ff7200],bg_head_ChengSe,bg_head_ChengSe,1,GeZi_FaBao_ChengSe
14,,14,橙色+1,[ff7200],bg_head_ChengSe_01,bg_head_ChengSe_01,,GeZi_FaBao_ChengSe
15,,15,橙色+2,[ff7200],bg_head_ChengSe_02,bg_head_ChengSe_02,,GeZi_FaBao_ChengSe
16,,16,橙色+3,[ff7200],bg_head_ChengSe_03,bg_head_ChengSe_03,,GeZi_FaBao_ChengSe
17,,17,橙色+4,[ff7200],bg_head_ChengSe_04,bg_head_ChengSe_04,,GeZi_FaBao_ChengSe
18,,18,橙色+5,[ff7200],bg_head_ChengSe_05,bg_head_ChengSe_05,,GeZi_FaBao_ChengSe
