Key,Remarks,id,name,consumeType,gemType,enchantExp,quality,gemLevel,icon,atlas,stackNum,life,attack,physiqueDef,spiritDef,attackVampire,critical,criticalHurt,toughness,lifeReceive,energyReceive,energyTrans,attackSpeed,cutHurt,resist,addCure,cutCure,lifePercent,attackPercent,physiqueDefPercent,spiritDefPercent,description,sellPrice,composeItemID,composeCost,composeNeedNum,level
800001,,800001,1级生命宝石,8,1,,1,1,Item/800001,Icon,999,70,,,,,,,,,,,,,,,,50,,,,一颗拥有生命之力的宝石。,300,800002,500,2,30
800002,,800002,2级生命宝石,8,1,,1,2,Item/800002,Icon,999,210,,,,,,,,,,,,,,,,100,,,,一颗拥有生命之力的宝石。,2000,800003,4000,2,34
800003,,800003,3级生命宝石,8,1,,1,3,Item/800003,Icon,999,420,,,,,,,,,,,,,,,,150,,,,一颗拥有生命之力的宝石。,4500,800004,7500,2,38
800004,,800004,4级生命宝石,8,1,,2,4,Item/800004,Icon,999,700,,,,,,,,,,,,,,,,200,,,,一颗拥有生命之力的宝石。,6500,800005,11000,2,42
800005,,800005,5级生命宝石,8,1,,2,5,Item/800005,Icon,999,1050,,,,,,,,,,,,,,,,300,,,,一颗拥有生命之力的宝石。,8500,800006,14500,2,46
800006,,800006,6级生命宝石,8,1,,2,6,Item/800006,Icon,999,1470,,,,,,,,,,,,,,,,450,,,,一颗拥有生命之力的宝石。,10500,800007,18000,2,50
800007,,800007,7级生命宝石,8,1,,3,7,Item/800007,Icon,999,1960,,,,,,,,,,,,,,,,549,,,,一颗拥有生命之力的宝石。,13000,800008,21500,2,54
800008,,800008,8级生命宝石,8,1,,3,8,Item/800008,Icon,999,2520,,,,,,,,,,,,,,,,699,,,,一颗拥有生命之力的宝石。,15000,800009,25000,2,58
800009,,800009,9级生命宝石,8,1,,3,9,Item/800009,Icon,999,3150,,,,,,,,,,,,,,,,900,,,,一颗拥有生命之力的宝石。,17000,-1,29000,2,62
800011,,800011,1级攻击宝石,8,2,,1,1,Item/800011,Icon,999,,17,,,,,,,,,,,,,,,,50,,,一颗拥有生命之力的宝石。,300,800012,500,2,30
800012,,800012,2级攻击宝石,8,2,,1,2,Item/800012,Icon,999,,52,,,,,,,,,,,,,,,,100,,,一颗拥有生命之力的宝石。,2000,800013,4000,2,34
800013,,800013,3级攻击宝石,8,2,,1,3,Item/800013,Icon,999,,105,,,,,,,,,,,,,,,,150,,,一颗拥有生命之力的宝石。,4500,800014,7500,2,38
800014,,800014,4级攻击宝石,8,2,,2,4,Item/800014,Icon,999,,175,,,,,,,,,,,,,,,,200,,,一颗拥有生命之力的宝石。,6500,800015,11000,2,42
800015,,800015,5级攻击宝石,8,2,,2,5,Item/800015,Icon,999,,262,,,,,,,,,,,,,,,,300,,,一颗拥有生命之力的宝石。,8500,800016,14500,2,46
800016,,800016,6级攻击宝石,8,2,,2,6,Item/800016,Icon,999,,367,,,,,,,,,,,,,,,,450,,,一颗拥有生命之力的宝石。,10500,800017,18000,2,50
800017,,800017,7级攻击宝石,8,2,,3,7,Item/800017,Icon,999,,490,,,,,,,,,,,,,,,,549,,,一颗拥有生命之力的宝石。,13000,800018,21500,2,54
800018,,800018,8级攻击宝石,8,2,,3,8,Item/800018,Icon,999,,630,,,,,,,,,,,,,,,,699,,,一颗拥有生命之力的宝石。,15000,800019,25000,2,58
800019,,800019,9级攻击宝石,8,2,,3,9,Item/800019,Icon,999,,787,,,,,,,,,,,,,,,,900,,,一颗拥有生命之力的宝石。,17000,-1,29000,2,62
800021,,800021,1级物理防御宝石,8,3,,1,1,Item/800021,Icon,999,,,8,,,,,,,,,,,,,,,,50,,一颗记载物防感悟的宝石。,300,800022,500,2,30
800022,,800022,2级物理防御宝石,8,3,,1,2,Item/800022,Icon,999,,,26,,,,,,,,,,,,,,,,100,,一颗记载物防感悟的宝石。,2000,800023,4000,2,34
800023,,800023,3级物理防御宝石,8,3,,1,3,Item/800023,Icon,999,,,52,,,,,,,,,,,,,,,,150,,一颗记载物防感悟的宝石。,4500,800024,7500,2,38
800024,,800024,4级物理防御宝石,8,3,,2,4,Item/800024,Icon,999,,,87,,,,,,,,,,,,,,,,200,,一颗记载物防感悟的宝石。,6500,800025,11000,2,42
800025,,800025,5级物理防御宝石,8,3,,2,5,Item/800025,Icon,999,,,131,,,,,,,,,,,,,,,,300,,一颗记载物防感悟的宝石。,8500,800026,14500,2,46
800026,,800026,6级物理防御宝石,8,3,,2,6,Item/800026,Icon,999,,,183,,,,,,,,,,,,,,,,450,,一颗记载物防感悟的宝石。,10500,800027,18000,2,50
800027,,800027,7级物理防御宝石,8,3,,3,7,Item/800027,Icon,999,,,245,,,,,,,,,,,,,,,,549,,一颗记载物防感悟的宝石。,13000,800028,21500,2,54
800028,,800028,8级物理防御宝石,8,3,,3,8,Item/800028,Icon,999,,,315,,,,,,,,,,,,,,,,699,,一颗记载物防感悟的宝石。,15000,800029,25000,2,58
800029,,800029,9级物理防御宝石,8,3,,3,9,Item/800029,Icon,999,,,393,,,,,,,,,,,,,,,,900,,一颗记载物防感悟的宝石。,17000,-1,29000,2,62
800031,,800031,1级法术防御宝石,8,4,,1,1,Item/800031,Icon,999,,,,7,,,,,,,,,,,,,,,,50,一颗记载法防感悟的宝石。,300,800032,500,2,30
800032,,800032,2级法术防御宝石,8,4,,1,2,Item/800032,Icon,999,,,,21,,,,,,,,,,,,,,,,100,一颗记载法防感悟的宝石。,2000,800033,4000,2,34
800033,,800033,3级法术防御宝石,8,4,,1,3,Item/800033,Icon,999,,,,42,,,,,,,,,,,,,,,,150,一颗记载法防感悟的宝石。,4500,800034,7500,2,38
800034,,800034,4级法术防御宝石,8,4,,2,4,Item/800034,Icon,999,,,,70,,,,,,,,,,,,,,,,200,一颗记载法防感悟的宝石。,6500,800035,11000,2,42
800035,,800035,5级法术防御宝石,8,4,,2,5,Item/800035,Icon,999,,,,105,,,,,,,,,,,,,,,,300,一颗记载法防感悟的宝石。,8500,800036,14500,2,46
800036,,800036,6级法术防御宝石,8,4,,2,6,Item/800036,Icon,999,,,,147,,,,,,,,,,,,,,,,450,一颗记载法防感悟的宝石。,10500,800037,18000,2,50
800037,,800037,7级法术防御宝石,8,4,,3,7,Item/800037,Icon,999,,,,196,,,,,,,,,,,,,,,,549,一颗记载法防感悟的宝石。,13000,800038,21500,2,54
800038,,800038,8级法术防御宝石,8,4,,3,8,Item/800038,Icon,999,,,,252,,,,,,,,,,,,,,,,699,一颗记载法防感悟的宝石。,15000,800039,25000,2,58
800039,,800039,9级法术防御宝石,8,4,,3,9,Item/800039,Icon,999,,,,315,,,,,,,,,,,,,,,,900,一颗记载法防感悟的宝石。,17000,-1,29000,2,62
800041,,800041,1级暴击宝石,8,5,,1,1,Item/800041,Icon,999,,,,,,5,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,300,800042,500,2,30
800042,,800042,2级暴击宝石,8,5,,1,2,Item/800042,Icon,999,,,,,,16,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,2000,800043,4000,2,34
800043,,800043,3级暴击宝石,8,5,,1,3,Item/800043,Icon,999,,,,,,33,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,4500,800044,7500,2,38
800044,,800044,4级暴击宝石,8,5,,2,4,Item/800044,Icon,999,,,,,,55,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,6500,800045,11000,2,42
800045,,800045,5级暴击宝石,8,5,,2,5,Item/800045,Icon,999,,,,,,83,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,8500,800046,14500,2,46
800046,,800046,6级暴击宝石,8,5,,2,6,Item/800046,Icon,999,,,,,,116,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,10500,800047,18000,2,50
800047,,800047,7级暴击宝石,8,5,,3,7,Item/800047,Icon,999,,,,,,155,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,13000,800048,21500,2,54
800048,,800048,8级暴击宝石,8,5,,3,8,Item/800048,Icon,999,,,,,,200,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,15000,800049,25000,2,58
800049,,800049,9级暴击宝石,8,5,,3,9,Item/800049,Icon,999,,,,,,250,,,,,,,,,,,,,,,一颗拥有神秘力量的宝石。,17000,-1,29000,2,62
800051,,800051,1级韧性宝石,8,6,,1,1,Item/800051,Icon,999,,,,,,,,5,,,,,,,,,,,,,一颗提升身体体格的宝石。,300,800052,500,2,30
800052,,800052,2级韧性宝石,8,6,,1,2,Item/800052,Icon,999,,,,,,,,16,,,,,,,,,,,,,一颗提升身体体格的宝石。,2000,800053,4000,2,34
800053,,800053,3级韧性宝石,8,6,,1,3,Item/800053,Icon,999,,,,,,,,33,,,,,,,,,,,,,一颗提升身体体格的宝石。,4500,800054,7500,2,38
800054,,800054,4级韧性宝石,8,6,,2,4,Item/800054,Icon,999,,,,,,,,55,,,,,,,,,,,,,一颗提升身体体格的宝石。,6500,800055,11000,2,42
800055,,800055,5级韧性宝石,8,6,,2,5,Item/800055,Icon,999,,,,,,,,83,,,,,,,,,,,,,一颗提升身体体格的宝石。,8500,800056,14500,2,46
800056,,800056,6级韧性宝石,8,6,,2,6,Item/800056,Icon,999,,,,,,,,116,,,,,,,,,,,,,一颗提升身体体格的宝石。,10500,800057,18000,2,50
800057,,800057,7级韧性宝石,8,6,,3,7,Item/800057,Icon,999,,,,,,,,155,,,,,,,,,,,,,一颗提升身体体格的宝石。,13000,800058,21500,2,54
800058,,800058,8级韧性宝石,8,6,,3,8,Item/800058,Icon,999,,,,,,,,200,,,,,,,,,,,,,一颗提升身体体格的宝石。,15000,800059,25000,2,58
800059,,800059,9级韧性宝石,8,6,,3,9,Item/800059,Icon,999,,,,,,,,250,,,,,,,,,,,,,一颗提升身体体格的宝石。,17000,-1,29000,2,62
800061,,800061,1级生命恢复宝石,8,7,,1,1,Item/800061,Icon,999,,,,,,,,,126,,,,,,,,,,,,一颗拥有治愈之力的宝石。,300,800062,500,2,30
800062,,800062,2级生命恢复宝石,8,7,,1,2,Item/800062,Icon,999,,,,,,,,,378,,,,,,,,,,,,一颗拥有治愈之力的宝石。,2000,800063,4000,2,34
800063,,800063,3级生命恢复宝石,8,7,,1,3,Item/800063,Icon,999,,,,,,,,,756,,,,,,,,,,,,一颗拥有治愈之力的宝石。,4500,800064,7500,2,38
800064,,800064,4级生命恢复宝石,8,7,,2,4,Item/800064,Icon,999,,,,,,,,,1260,,,,,,,,,,,,一颗拥有治愈之力的宝石。,6500,800065,11000,2,42
800065,,800065,5级生命恢复宝石,8,7,,2,5,Item/800065,Icon,999,,,,,,,,,1890,,,,,,,,,,,,一颗拥有治愈之力的宝石。,8500,800066,14500,2,46
800066,,800066,6级生命恢复宝石,8,7,,2,6,Item/800066,Icon,999,,,,,,,,,2646,,,,,,,,,,,,一颗拥有治愈之力的宝石。,10500,800067,18000,2,50
800067,,800067,7级生命恢复宝石,8,7,,3,7,Item/800067,Icon,999,,,,,,,,,3528,,,,,,,,,,,,一颗拥有治愈之力的宝石。,13000,800068,21500,2,54
800068,,800068,8级生命恢复宝石,8,7,,3,8,Item/800068,Icon,999,,,,,,,,,4536,,,,,,,,,,,,一颗拥有治愈之力的宝石。,15000,800069,25000,2,58
