Key,Remarks,id,name,consumeType,quality,stackNum,isUse,enchantExp,magicForgeExp,value,icon,atlas,description,itemspit,sellPrice,cost
801001,,801001,1级晶石,9,,999,,,60,60,Item/801001,Icon,法宝EXP+50,晶体矿物，多于用强化法宝。初级版，粗糙无打磨，拥有不少杂质。,200,
801002,,801002,2级晶石,9,1,999,,,300,300,Item/801002,Icon,法宝EXP+500,晶体矿物，多于用强化法宝。进阶版，略微打磨过，杂质含量较少。,1800,
801003,,801003,3级晶石,9,2,999,,,1500,1500,Item/801003,Icon,法宝EXP+5000,晶体矿物，多于用强化法宝。高级版，完整打磨过，几乎不含杂质。,4600,
801004,,801004,4级晶石,9,3,999,,,7500,7500,Item/801004,Icon,法宝EXP+7500,晶体矿物，多于用强化法宝。终极版，反复打磨过，十足晶莹剔透。,11600,
803001,,803001,低级经验丹,11,,999,1,,,600,Item/803001,Icon,英雄EXP+600,太上老君开炉炼制而成的仙丹，可以增加修为。初级版，蕴含少量仙气。,200,6
803002,,803002,中级经验丹,11,1,999,1,,,2500,Item/803002,Icon,英雄EXP+2500,太上老君开炉炼制而成的仙丹，可以增加修为。进阶版，蕴含一些仙气。,1800,25
803003,,803003,高级经验丹,11,2,999,1,,,10000,Item/803003,Icon,英雄EXP+10000,太上老君开炉炼制而成的仙丹，可以增加修为。高级版，蕴含大量仙气。,4600,100
803004,,803004,经验大仙丹,11,3,999,1,,,20000,Item/803003,Icon,英雄EXP+20000,太上老君开炉炼制而成的仙丹，可以增加修为。终极版，仙气几近溢出。,11600,200
805001,,805001,体力药剂,13,1,999,1,,,50,Item/805001,Icon,体力+50,不知从哪里流传而出的神秘药酒，能够瞬间恢复人的体力。,1800,
806001,,806001,扫荡券,14,2,999,,,,,Item/806001,Icon,用于扫荡,能够记载仙人之力的卷轴，可以用来快速消灭敌人。,500,
804001,,804001,1级符石,12,1,999,,10,,,Item/804001,Icon,附灵值+10,只有在仙界的灵石矿脉才能开采。初级版，开采后几乎没有处理的下等灵石。,1800,
804002,,804002,2级符石,12,2,999,,60,,,Item/804002,Icon,附灵值+60,只有在仙界的灵石矿脉才能开采。进阶版，开采后处理过了杂质的中等灵石。,4600,
804003,,804003,3级符石,12,3,999,,200,,,Item/804003,Icon,附灵值+200,只有在仙界的灵石矿脉才能开采。高级版，开采后反复进行处理的上等灵石。,11600,
802001,,802001,玛瑙石,15,1,999,,,,,Item/802001,Icon,卖出金币+4500,珍稀品，古董商人很热衷于收购它们。你也许会发一笔横财。,4500,
802002,,802002,翡翠玉,15,2,999,,,,,Item/802002,Icon,卖出金币+13500,珍稀品，古董商人很热衷于收购它们。你也许会发一夜暴富。,13500,
802003,,802003,夜明珠,15,3,999,,,,,Item/802003,Icon,卖出金币+21000,珍稀品，古董商人很热衷于收购它们。你也许会变身成土豪。,21000,
802004,,802004,玉玺,15,4,999,,,,,Item/802004,Icon,卖出金币+30000,珍稀品，古董商人很热衷于收购它们。你也许会富可敌国哟。,30000,
802005,,802005,VIP1体验卡,16,4,999,1,,,1,Item/icon_YueKa,Icon,vip体验卡,VIP1体验卡，使用后可以变成VIP1，并且获得对应VIP特权,10000,
802006,,802006,VIP2体验卡,16,4,999,1,,,2,Item/icon_YueKa,Icon,vip体验卡,VIP2体验卡，使用后可以变成VIP2，并且获得对应VIP特权,10000,
802007,,802007,VIP3体验卡,16,4,999,1,,,3,Item/icon_YueKa,Icon,vip体验卡,VIP3体验卡，使用后可以变成VIP3，并且获得对应VIP特权,10000,
802008,,802008,VIP4体验卡,16,4,999,1,,,4,Item/icon_YueKa,Icon,vip体验卡,VIP4体验卡，使用后可以变成VIP4，并且获得对应VIP特权,10000,
802009,,802009,VIP5体验卡,16,4,999,1,,,5,Item/icon_YueKa,Icon,vip体验卡,VIP5体验卡，使用后可以变成VIP5，并且获得对应VIP特权,10000,
802010,,802010,VIP6体验卡,16,4,999,1,,,6,Item/icon_YueKa,Icon,vip体验卡,VIP6体验卡，使用后可以变成VIP6，并且获得对应VIP特权,10000,
802011,,802011,VIP7体验卡,16,4,999,1,,,7,Item/icon_YueKa,Icon,vip体验卡,VIP7体验卡，使用后可以变成VIP7，并且获得对应VIP特权,10000,
802012,,802012,VIP8体验卡,16,4,999,1,,,8,Item/icon_YueKa,Icon,vip体验卡,VIP8体验卡，使用后可以变成VIP8，并且获得对应VIP特权,10000,
802013,,802013,VIP9体验卡,16,4,999,1,,,9,Item/icon_YueKa,Icon,vip体验卡,VIP9体验卡，使用后可以变成VIP9，并且获得对应VIP特权,10000,
802014,,802014,VIP10体验卡,16,4,999,1,,,10,Item/icon_YueKa,Icon,vip体验卡,VIP10体验卡，使用后可以变成VIP10，并且获得对应VIP特权,10000,
802015,,802015,VIP11体验卡,16,4,999,1,,,11,Item/icon_YueKa,Icon,vip体验卡,VIP11体验卡，使用后可以变成VIP11，并且获得对应VIP特权,10000,
802016,,802016,VIP12体验卡,16,4,999,1,,,12,Item/icon_YueKa,Icon,vip体验卡,VIP12体验卡，使用后可以变成VIP12，并且获得对应VIP特权,10000,
802017,,802017,VIP13体验卡,16,4,999,1,,,13,Item/icon_YueKa,Icon,vip体验卡,VIP13体验卡，使用后可以变成VIP13，并且获得对应VIP特权,10000,
802018,,802018,VIP14体验卡,16,4,999,1,,,14,Item/icon_YueKa,Icon,vip体验卡,VIP14体验卡，使用后可以变成VIP14，并且获得对应VIP特权,10000,
802019,,802019,VIP15体验卡,16,4,999,1,,,15,Item/icon_YueKa,Icon,vip体验卡,VIP15体验卡，使用后可以变成VIP15，并且获得对应VIP特权,10000,
