source,Remarks,buyPowerCount,useCoinTransCount,getSweepTicketNum,isAllowReport
vip0,,9999,9999,20,true
vip1,,9999,9999,25,true
vip2,,9999,9999,30,true
vip3,,9999,9999,35,true
vip4,,9999,9999,40,true
vip5,,9999,9999,45,true
vip6,,9999,9999,50,true
vip7,,9999,9999,55,true
vip8,,9999,9999,60,true
vip9,,9999,9999,65,true
vip10,,9999,9999,70,true
vip11,,9999,9999,75,true
vip12,,9999,9999,80,true
vip13,,9999,9999,85,true
vip14,,9999,9999,90,true
vip15,,9999,9999,95,true
monthNormal,,,,,
monthVip,,,,,
