key,Remarks,times,needPurse,coin,critPercent1,critPercent2,critPercent3,critPercent4,critPercent5,critPercent6,critPercent7,critPercent8,critPercent9,critPercent10
1,,1,10,20000,,1500,400,200,85,1,1,1,1,1
2,,2,15,20100,1500,1500,380,85,1,1,1,1,1,1
3,,3,20,20200,1500,1500,1200,85,1,1,1,1,1,1
4,,4,25,20300,1500,1500,1500,550,1,1,1,1,1,1
5,,5,30,20400,1500,1500,1500,1300,1,1,1,1,1,1
6,,6,35,20500,1500,1500,1500,1500,450,1,1,1,1,1
7,,7,40,20600,1500,1500,1500,1500,1150,1,1,1,1,1
8,,8,45,20700,1500,1500,1500,1500,1500,350,1,1,1,1
9,,9,50,20800,1500,1500,1500,1500,1500,1050,1,1,1,1
10,,10,55,20900,1500,1500,1500,1500,1500,1500,245,1,1,1
11,,11,60,21000,1500,1500,1500,1500,1500,1500,880,1,1,1
12,,12,65,21100,1500,1500,1500,1500,1500,1500,1500,80,1,1
13,,13,70,21200,1500,1500,1500,1500,1500,1500,1500,700,1,1
14,,14,75,21300,1500,1500,1500,1500,1500,1500,1500,1350,1,1
15,,15,80,21400,1500,1500,1500,1500,1500,1500,1500,1500,480,1
16,,16,85,21500,1500,1500,1500,1500,1500,1500,1500,1500,480,1
17,,17,90,21600,1500,1500,1500,1500,1500,1500,1500,1500,500,1
18,,18,95,21700,1500,1500,1500,1500,1500,1500,1500,1500,500,1
19,,19,100,21800,1500,1500,1500,1500,1500,1500,1500,1500,500,1
20,,20,110,21900,1500,1500,1500,1500,1500,1500,1500,1500,500,1
21,,21,120,22000,1500,1500,1500,1500,1500,1500,1500,1500,500,1
22,,22,130,22100,1500,1500,1500,1500,1500,1500,1500,1500,500,1
23,,23,140,22200,1500,1500,1500,1500,1500,1500,1500,1500,500,1
24,,24,150,22300,1500,1500,1500,1500,1500,1500,1500,1500,520,1
25,,25,160,22400,1500,1500,1500,1500,1500,1500,1500,1500,520,1
26,,26,170,22500,1500,1500,1500,1500,1500,1500,1500,1500,520,1
27,,27,180,22600,1500,1500,1500,1500,1500,1500,1500,1500,520,1
28,,28,190,22700,1500,1500,1500,1500,1500,1500,1500,1500,520,1
29,,29,200,22800,1500,1500,1500,1500,1500,1500,1500,1500,520,1
30,,30,210,22900,1500,1500,1500,1500,1500,1500,1500,1500,520,1
31,,31,220,23000,1500,1500,1500,1500,1500,1500,1500,1500,550,1
32,,32,230,23100,1500,1500,1500,1500,1500,1500,1500,1500,550,1
33,,33,240,23200,1500,1500,1500,1500,1500,1500,1500,1500,550,1
