Key,Remarks,id,title,Type," sort",normalRewards,normalRewards2,normalCostType,normalCost,normalCost2,perfectRewards,perfectRewards2,perfectCostType,perfectCost,perfectCost2
1,,1,补领早餐,1,1,3:30,,2,36,,3:60,,2,60,
2,,2,补领午餐,1,2,3:30,,2,36,,3:60,,2,60,
3,,3,补领晚餐,1,3,3:30,,2,36,,3:60,,2,60,
4,,4,补领夜宵,1,4,3:30,,2,36,,3:60,,2,60,
5,,5,溢出体力,2,5,-2,3:0.5,2,-2,50:1.2;60:1.8;240:2.4,-2,3:1,2,-2,50:1;60:1.5;240:2
6,,6,膜拜,1,6,3:15,,2,18,,3:30,,2,30,
7,,7,低费体力购买,3,7,-2,3:60,2,-2,1:36;2:36;3:72,-2,3:120,2,-2,1:60;2:60;3:120
8,,8,中费体力购买,3,8,-2,3:60,2,-2,1:72;2:72;3:72,-2,3:120,2,-2,1:120;2:120;3:120
9,,9,高费体力购买,3,8,-2,3:60,2,-2,1:144;2:144;3:144,-2,3:120,2,-2,1:240;2:240;3:240
10,,10,超级体力购买,3,8,-2,3:60,2,-2,1:288;2:288;3:288,-2,3:120,2,-2,1:480;2:480;3:480
11,,11,终极体力购买,3,8,-2,3:60,2,-2,1:288;2:288;3:288,-2,3:120,2,-2,1:480;2:480;3:480
12,,12,聚宝之地,4,9,-1,,2,-1,,-1,,2,-1,
13,,13,炼气山谷,4,10,-1,,2,-1,,-1,,2,-1,
14,,14,蓬莱岛,5,11,-1,,2,-1,,-1,,2,-1,
15,,15,昆仑墟,5,11,-1,,2,-1,,-1,,2,-1,
16,,16,心魔录,6,12,-1,,2,-1,,-1,,2,-1,
17,,17,万仙阵,4,13,-1,,2,-1,,-1,,2,-1,
18,,18,封神台,4,14,-1,,2,-1,,-1,,2,-1,
19,,19,乾坤幻境,4,15,-1,,2,-1,,-1,,2,-1,
