key,Remarks,target,guideActType,extraParam,openConditionalID,skipConditionalID,offsetX,offsetY,handDirection,viewID,suspressDarkLayer,skipable,delayTime,checkTarget,jumpNext,isFadeIn
100000010,,Icon_202002,Hand,ContinueBattling(),1000001,1000006,-5,25,Right,BattleBossView,,,,1010,,
100000020,,Icon_201001,Hand,ContinueBattling(),1000002,1000006,-5,25,Left,BattleBossView,,,,1010,,
100000030,,Icon_204001,Hand,ContinueBattling(),1000003,1000006,-5,25,Right,BattleBossView,,,,1010,,
100000040,,Icon_202001,Hand,ContinueBattling(),1000004,1000006,-5,25,Left,BattleBossView,,,,1010,,
100000050,,MagicButton,Hand,ContinueBattling(),1000005,1000006,-17,-25,Left,BattleBossView,,,,1010,,
100010010,,Altar_Building,Hand_MM,100010010,1000101,1000102,-5,230,Left,MainView,,,,1010,,true
100010020,,Table_ShouYe/Middle,Hand_MM,100010020,1000101,1000102,-10,25,Left,UIGamble,,,,1010,,true
100010030,,Table/Middle/BuyButtonOne,Hand,,1000101,1000102,-10,25,Left,UIGamble,,,,1010,,true
100010040,,ConfirmBtn,Hand,ShowMainView(),1000101,1000102,-10,25,Left,UIGambleReward,,,,1010,,true
100010050,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1010,,true
100010060,,StagePart_110101/Button/Down,Hand_MM,100010060,1000101,1113,-10,25,Left,MainCopyView,,,,1010,,
100010070,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010080,,Hero_202001_3,Hand_MM,100010080,1000101,1111,-10,25,Left,EmbattleView,,,,1115,,true
100010090,,UI_Team(NEW)(Clone)/SingleTeamOperate/ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,
100010100,,MagicButton,Hand,ContinueBattling(),1000103,1000102,-17,-25,Left,BattleNormalView,,,,1010,,
100010110,,UI_Win(Clone)/ToIndex,Hand,,1000101,1000102,-10,25,Left,BattleResultView,,,,1010,,
100010120,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010130,,StagePart_110102/Button/Up,Hand_MM,100010130,1000101,1114,-10,25,Left,MainCopyView,,,,1010,,true
100010140,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010150,,UI_Team(NEW)(Clone)/SingleTeamOperate/ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,true
100010160,,PullDown/pulldown,Hand_MM,100010160,1000101,1000102,-10,25,Right,FixLayerView,,,,1010,,true
100010170,,RightMainMenu/role,Hand,,1000101,1000102,-10,25,Right,FixLayerView,,,,1010,,
100010180,,roleitem_player,Hand_MM,100010180,1000101,1000102,-10,25,Left,RoleList,,,,1010,,
100010190,,equip_700013,Hand_MM,100010190,1000101,1000102,-10,25,Left,Role,,,,1010,,true
100010200,,EquipBtn,Hand,,1000101,1000102,-10,25,Left,EquipInfo,,,,1010,,
100010210,,CloseBtn,Hand,,1000101,1000102,-10,25,Left,Role,,,,1010,,true
100010220,,Hero_BackBt,Hand,,1000101,1000102,-10,25,Left,RoleList,,,,1010,,
100010230,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010240,,StagePart_110103/Button/Down,Hand_MM,100010240,1000101,1000102,-10,25,Left,MainCopyView,,,,1010,,
100010250,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010260,,ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,true
100010270,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010280,,StagePart_110104/Button/Up,Hand_MM,100010280,1000101,1000102,-10,25,Left,MainCopyView,,,,1010,,true
100010290,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010300,,UI_Team(NEW)(Clone)/SingleTeamOperate/ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,true
100010310,,PullDown/pulldown,Hand_MM,100010310,1000101,1000102,-10,25,Right,FixLayerView,,,,1010,,true
100010320,,RightMainMenu/role,Hand,,1000101,1000102,-10,25,Right,FixLayerView,,,,1010,,
100010330,,roleitem_200003,Hand,,1000101,1000102,-10,25,Left,RoleList,,,,1010,,
100010340,,Hero_BackBt,Hand,,1119,1000102,-10,25,Left,RoleList,,,,1011,true,true
100010350,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010360,,StagePart_110105/Button/Down,Hand,,1000101,1000102,-10,25,Left,MainCopyView,,,,1010,,
100010370,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010380,,Hero_200003_1,Hand_MM,100010380,1000101,1112,-10,25,Left,EmbattleView,,,,1116,,
100010390,,UI_Team(NEW)(Clone)/SingleTeamOperate/ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,
100010400,,AutoBattle/autobattle,Hand,ContinueBattling(),1000104,1000102,7,-25,Right,BattleNormalView,,,,1010,,
100010410,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010420,,StagePart_110106/Button/Up,Hand,,1000101,1000102,-10,25,Left,MainCopyView,,,,1010,,
100010430,,EnterMercConfig,Hand,,1000101,1000102,-10,25,Left,CopyLevelDetailsView,,,,1010,,
100010440,,UI_Team(NEW)(Clone)/SingleTeamOperate/ChuZhan,Hand,,1000101,1000102,-10,25,Left,EmbattleView,,,,1010,,true
100010450,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010460,,Button1,Hand_MM,100010460,1000101,1000102,-10,25,Left,MainCopyView,,,,1010,,true
100010470,,UI_MapGift(Clone)/Button,Hand,,1000101,1000102,-10,25,Left,MapGiftView,,true,,1010,,
100010480,,PullDown/pulldown,Hand_MM,100010480,1120,1000102,-10,25,Right,FixLayerView,,,,1010,,true
100010490,,RightMainMenu/role,Hand,,1000101,1000102,-10,25,Right,FixLayerView,,,,1010,,
100010500,,roleitem_player,Hand_MM,100010500,1000101,1000102,-10,25,Left,RoleList,,,,1010,,
100010510,,Progress Bar/AddStoneBtn,Hand_MM,100010510,1000101,1000102,-10,25,Left,Role,,,,1010,,true
100010520,,UI_MsgBox(Clone)/offset/RightButton,Hand,,1000101,1000102,-10,25,Left,UIMsgBox,,,,1010,,
100010530,,UI_Role(Clone)/offset/CloseBtn,Hand,,1121,1000102,-10,25,Left,Role,,,1.8,1011,true,true
100010540,,Hero_BackBt,Hand,,1000101,1000102,-10,25,Left,RoleList,,,,1011,true,
100010550,,Battle,Hand,,1000101,1000102,-10,25,Left,MainView,,,,1011,true,true
100010560,,RightArrow,Hand,,1000101,1000102,-10,25,Right,MainCopyView,,true,,1011,,true
100020000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000201,1000202,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100020010,,ArrowRight/offset/Button,Hand_MM,100020010,1000201,1000202,-10,25,Right,MainView,true,,,1010,,
100020020,,Arena_Building,Hand,,1000201,1000202,-10,230,Left,MainView,true,,,1010,,
100020030,,Zuo,Hand,,1000201,1000202,-10,25,Left,UIPVPEntry,true,,,1010,,true
100020031,,Enemy_slot_2/BtnChallenge,Hand,,1000201,1000202,-10,25,Left,CareerArena,true,,,1010,,
100030000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000301,1000302,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100030010,,Battle,Hand_MM,100030010,1000301,1000302,-10,25,Left,MainView,true,,,1010,,
100030020,,DownButtonPanel/EliteButton,Hand,,1000301,1000302,-10,25,Left,MainCopyView,true,,,1010,,
100030030,,StagePart_120101/Button/Up,Hand,,1000300,1000302,-10,25,Left,MainCopyView,true,,,1010,,
100030040,,EnterMercConfig,Hand,,1000301,1000302,-10,25,Left,CopyLevelDetailsView,true,,,1010,,
100040000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000401,1000402,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100040010,,Activity_Building,Hand_MM,100040010,1000401,1000402,-10,30,Left,MainView,true,,,1010,,
100040020,,item1,Hand,,1000401,1000402,-10,25,Left,UIPVEEntry,true,,,1010,,
100050000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000501,1000502,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100050010,,PullDown/pulldown,Hand_MM,100050010,1000501,1000502,-10,25,Right,FixLayerView,true,,,1010,,
100050020,,daily,Hand,,1000501,1000502,-10,25,Right,FixLayerView,true,,,1010,,
100050030,,UI_DailyActivity(Clone)/Scroll View/grid/20170_1,Hand,,1000501,1000502,-10,25,Left,UIDailyView,true,,,1010,,
100060000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000601,1000602,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100060010,,PART_ActionIcon/offset/Fashion/Button,Hand_MM,100060010,1000601,1000602,-10,25,Left,MainView,true,,,1010,,
