key,remarks,rank,icon,emailCfgId,giftId
101,,1,font_1st,15004,1_500000;603301_1;801001_100;801011_10;801012_8;801013_5
102,,2,font_2nd,15004,1_450000;604913_18;801001_90;801011_9;801012_7;801013_4
103,,3,font_3rd,15004,1_400000;604913_16;801001_80;801011_8;801012_6;801013_4
104,,4-5,,15004,1_350000;604913_14;801001_70;801011_7;801012_5;801013_3
105,,6-10,,15004,1_300000;604913_12;801001_60;801011_6;801012_4;801013_3
106,,11-20,,15004,1_250000;604913_10;801001_50;801011_5;801012_4;801013_2
107,,21-50,,15004,1_200000;604913_8;801001_40;801011_4;801012_3;801013_2
108,,51-100,,15004,1_150000;604913_6;801001_30;801011_3;801012_2;801013_1
109,,101-200,,15004,1_100000;604913_4;801001_20;801011_2;801012_1;801013_1
110,,201-300,,15004,1_85000;604913_2;801001_17;801011_1;801012_1
111,,301-400,,15004,1_70000;801001_14;801011_1;801012_1
112,,401-500,,15004,1_55000;801001_11;801011_1
113,,501-1000,,15004,1_40000;801001_8
114,,1000-2000,,15004,1_25000;801001_5
