dropRecordkey,Remarks,dropRecordId,additiveRate,minRate,firstDrop
1443,,1443,2000,2500,
1444,,1444,2000,2500,
1445,,1445,2000,2500,
1446,,1446,2000,2500,
1447,,1447,2000,2500,
1448,,1448,2000,2500,
1449,,1449,2000,2500,
1450,,1450,2000,2500,
1451,,1451,2000,2500,
1452,,1452,2000,2500,
1453,,1453,2000,2500,
1454,,1454,2000,2500,
1455,,1455,2000,2500,
1456,,1456,2000,2500,
1457,,1457,2000,2500,
1458,,1458,2000,2500,
1459,,1459,2000,2500,
1460,,1460,2000,2500,
1461,,1461,2000,2500,
1462,,1462,2000,2500,
1463,,1463,2000,2500,
1464,,1464,2000,2500,
1465,,1465,2000,2500,
1466,,1466,2000,2500,
1467,,1467,2000,2500,
1468,,1468,2000,2500,
1469,,1469,2000,2500,
1470,,1470,2000,2500,
1471,,1471,2000,2500,
1472,,1472,2000,2500,
1473,,1473,2000,2500,
1474,,1474,2000,2500,
1475,,1475,2000,2500,
1476,,1476,2000,2500,
1477,,1477,2000,2500,
1478,,1478,2000,2500,
1479,,1479,2000,2500,
1480,,1480,2000,2500,
1481,,1481,2000,2500,
1482,,1482,2000,2500,
1483,,1483,2000,2500,
10004,,10004,,,1
10006,,10006,,,1
10010,,10010,,,1
10019,,10019,,,1
20088,,20088,,,1
20090,,20090,,,1
10014,,10014,,,1
10016,,10016,,,1
3001,,3001,,,1
20095,,20095,,,1
20096,,20096,,,1
20097,,20097,,,1
20098,,20098,,,1
20099,,20099,,,1
20100,,20100,,,1
20101,,20101,,,1
20102,,20102,,,1
20103,,20103,,,1
20104,,20104,,,1
20105,,20105,,,1
20106,,20106,,,1
20107,,20107,,,1
20109,,20109,,,1
20111,,20111,,,1
20114,,20114,,,1
20116,,20116,,,1
20117,,20117,,,1
20119,,20119,,,1
30006,,30006,,,1
30007,,30007,,,1
30008,,30008,,,1
30018,,30018,,,1
30019,,30019,,,1
30020,,30020,,,1
30021,,30021,,,1
30040,,30040,,,1
30041,,30041,,,1
30042,,30042,,,1
30043,,30043,,,1
30044,,30044,,,1
30045,,30045,,,1
30067,,30067,,,1
30068,,30068,,,1
30069,,30069,,,1
30070,,30070,,,1
30071,,30071,,,1
30072,,30072,,,1
30073,,30073,,,1
30095,,30095,,,1
30096,,30096,,,1
30097,,30097,,,1
30098,,30098,,,1
30099,,30099,,,1
30100,,30100,,,1
30101,,30101,,,1
30123,,30123,,,1
30124,,30124,,,1
30125,,30125,,,1
30126,,30126,,,1
30127,,30127,,,1
30128,,30128,,,1
30129,,30129,,,1
30151,,30151,,,1
30152,,30152,,,1
30153,,30153,,,1
30154,,30154,,,1
30155,,30155,,,1
30156,,30156,,,1
30157,,30157,,,1
30179,,30179,,,1
30180,,30180,,,1
30181,,30181,,,1
30182,,30182,,,1
30183,,30183,,,1
30184,,30184,,,1
30185,,30185,,,1
30207,,30207,,,1
30208,,30208,,,1
30209,,30209,,,1
30210,,30210,,,1
30211,,30211,,,1
30212,,30212,,,1
30213,,30213,,,1
30235,,30235,,,1
30236,,30236,,,1
30237,,30237,,,1
30238,,30238,,,1
30239,,30239,,,1
30240,,30240,,,1
30241,,30241,,,1
30263,,30263,,,1
30264,,30264,,,1
30265,,30265,,,1
30266,,30266,,,1
30267,,30267,,,1
30268,,30268,,,1
30269,,30269,,,1
