key,remarks,level,expectedHeroCount,expectedQuality,expectedStar,levelOfTaoist1,levelOfTaoist2,levelOfTaoist3,fashionSuitCount,fashionWingCount,fashionPetCount
1,,1,1,,1,,,,,,
2,,2,1,,1,,,,,,
3,,3,1,,1,,,,,,
4,,4,2,,1,,,,,,
5,,5,2,1,1,,,,,,
6,,6,2,1,1,,,,,,
7,,7,2,1,1,,,,,,
8,,8,2,1,1,,,,,,
9,,9,2,1,1,,,,,,
10,,10,2,2,1,,,,,,
11,,11,2,2,1,,,,,,
12,,12,2,2,1,,,,,,
13,,13,2,2,1,,,,,,
14,,14,2,2,1,,,,,,
15,,15,2,3,1,,,,,,
16,,16,2,3,1,,,,,,
17,,17,2,3,1,,,,,,
18,,18,2,3,1,,,,,,
19,,19,2,3,1,,,,,,
20,,20,3,4,1,,,,,,
21,,21,3,4,1,,,,,,
22,,22,3,4,1,,,,,,
23,,23,3,4,1,,,,,,
24,,24,3,4,1,,,,,,
25,,25,4,5,1,,,,,,1
26,,26,4,5,1,,,,,,1
27,,27,4,5,1,,,,,,1
28,,28,4,5,1,,,,,,1
29,,29,4,5,1,,,,,,1
30,,30,4,6,1,,,,,,1
31,,31,4,6,2,,,,,,1
32,,32,4,6,2,,,,,,1
33,,33,4,6,2,,,,,,1
34,,34,4,6,2,,,,,,1
35,,35,5,7,2,,,,,,1
36,,36,5,7,2,,,,,,1
37,,37,5,7,2,37,,,,,1
38,,38,5,7,2,38,,,,,1
39,,39,5,7,2,39,,,,,1
40,,40,5,8,2,40,40,,,,1
41,,41,5,8,2,41,41,,,,1
42,,42,5,8,2,42,42,,,,1
43,,43,5,8,2,43,43,,,,1
44,,44,6,8,2,44,44,,,,1
45,,45,6,9,3,45,45,,,,1
46,,46,6,9,3,46,46,,,,1
47,,47,7,9,3,47,47,,,,1
48,,48,7,9,3,48,48,,,,1
49,,49,7,9,4,49,49,,,,1
50,,50,7,10,4,50,50,50,,,1
51,,51,8,10,4,51,51,51,,,1
52,,52,8,10,4,52,52,52,,,1
53,,53,8,10,4,53,53,53,,,1
54,,54,8,10,5,54,54,54,,,1
55,,55,10,11,5,55,55,55,,,1
56,,56,10,11,5,56,56,56,,,1
57,,57,11,11,5,57,57,57,,,1
58,,58,11,11,5,58,58,58,,,1
59,,59,11,11,6,59,59,59,,,1
60,,60,11,12,6,60,60,60,,,1
61,,61,11,12,6,61,61,61,,,1
62,,62,11,12,6,62,62,62,,,1
63,,63,11,12,6,63,63,63,,,1
64,,64,11,12,7,64,64,64,,,1
65,,65,11,13,7,65,65,65,,,1
66,,66,11,13,7,66,66,66,,,1
67,,67,11,13,7,67,67,67,,,1
68,,68,11,13,7,68,68,68,,,1
69,,69,11,13,7,69,69,69,,,1
70,,70,11,14,7,70,70,70,,,1
71,,71,11,14,7,71,71,71,,,1
72,,72,11,14,7,72,72,72,,,1
73,,73,11,14,7,73,73,73,,,1
74,,74,11,14,7,74,74,74,,,1
75,,75,11,15,7,75,75,75,,,1
76,,76,11,15,7,76,76,76,,,1
77,,77,11,15,7,77,77,77,,,1
78,,78,11,15,7,78,78,78,,,1
79,,79,11,15,7,79,79,79,,,1
80,,80,11,16,7,80,80,80,,,1
81,,81,11,16,7,81,81,81,,,1
82,,82,11,16,7,82,82,82,,,1
83,,83,11,16,7,83,83,83,,,1
84,,84,11,16,7,84,84,84,,,1
85,,85,11,17,7,85,85,85,,,1
86,,86,11,17,7,86,86,86,,,1
87,,87,11,17,7,87,87,87,,,1
88,,88,11,17,7,88,88,88,,,1
89,,89,11,17,7,89,89,89,,,1
90,,90,11,18,7,90,90,90,,,1
