key,remarks,id,type,condition,content,mailId
10001,,10001,1,1,"1~10000,806001~5",10322
10002,,10002,5,1,"1~50000,2~150,806001~5",10322
10003,,10003,3,10,"1~20000,2~80,803001~20",10322
10004,,10004,3,20,"1~50000,2~100,806001~20",10322
10005,,10005,3,30,"2~120,806552~5",10322
10006,,10006,3,40,"2~200,12~1",10322
10007,,10007,3,50,"2~250,806552~5,806551~5",10322
10008,,10008,3,60,"2~300,12~2",10322
10009,,10009,2,6,"1~50000,2~100,806001~20",10322
10010,,10010,2,30,"1~150000,2~150,806001~20,806551~5",10322
10011,,10011,4,1,"1~20000,806001~10",10322
10012,,10012,4,1,"1~80000,2~200,806001~50,806552~10",10322
