key,Remarks,level,towerId,gold,towerCoin,count,formatId
1,,30,1,1400,,1,43001
2,,30,2,2000,,1,43001
3,,30,3,2700,,1,43001
4,,30,4,3400,,1,43002
5,,30,5,4100,200,1,43002
6,,30,6,4700,,1,43002
7,,30,7,5400,,1,43003
8,,30,8,6100,,1,43003
9,,30,9,6800,,1,43003
10,,30,10,7400,300,1,43004
11,,30,11,8100,,1,43004
12,,30,12,8800,,1,43004
13,,30,13,9500,,1,43005
14,,30,14,10000,,1,43005
15,,30,15,11000,500,1,43005
16,,35,1,1600,,1,43001
17,,35,2,2300,,1,43001
18,,35,3,3100,,1,43001
19,,35,4,3900,,1,43002
20,,35,5,4700,200,1,43002
21,,35,6,5400,,1,43002
22,,35,7,6200,,1,43003
23,,35,8,7000,,1,43003
24,,35,9,7800,,1,43003
25,,35,10,8500,300,1,43004
26,,35,11,9300,,1,43004
27,,35,12,10100,,1,43004
28,,35,13,10900,,1,43005
29,,35,14,12000,,1,43005
30,,35,15,12000,500,1,43005
31,,40,1,1800,,1,43001
32,,40,2,2600,,1,43001
33,,40,3,3500,,1,43001
34,,40,4,4400,,1,43002
35,,40,5,5300,200,1,43002
36,,40,6,6100,,1,43002
37,,40,7,7000,,1,43003
38,,40,8,7900,,1,43003
39,,40,9,8800,,1,43003
40,,40,10,9600,300,1,43004
41,,40,11,10500,,1,43004
42,,40,12,11400,,1,43004
43,,40,13,12300,,1,43005
44,,40,14,13000,,1,43005
45,,40,15,14000,500,1,43005
46,,45,1,2000,,1,43001
47,,45,2,2900,,1,43001
48,,45,3,3900,,1,43001
49,,45,4,4900,,1,43002
50,,45,5,5900,200,1,43002
51,,45,6,6800,,1,43002
52,,45,7,7800,,1,43003
53,,45,8,8800,,1,43003
54,,45,9,9800,,1,43003
55,,45,10,10700,300,1,43004
56,,45,11,11700,,1,43004
57,,45,12,12700,,1,43004
58,,45,13,13700,,1,43005
59,,45,14,15000,,1,43005
60,,45,15,16000,500,1,43005
61,,50,1,2200,,1,43001
62,,50,2,3200,,1,43001
63,,50,3,4300,,1,43001
64,,50,4,5400,,1,43002
65,,50,5,6500,200,1,43002
66,,50,6,7500,,1,43002
67,,50,7,8600,,1,43003
68,,50,8,9700,,1,43003
69,,50,9,10800,,1,43003
70,,50,10,11800,300,1,43004
71,,50,11,12900,,1,43004
72,,50,12,14000,,1,43004
73,,50,13,15100,,1,43005
74,,50,14,16000,,1,43005
75,,50,15,17000,500,1,43005
76,,55,1,2300,,1,43001
77,,55,2,3500,,1,43001
78,,55,3,4700,,1,43001
79,,55,4,5900,,1,43002
80,,55,5,7000,200,1,43002
81,,55,6,8200,,1,43002
82,,55,7,9400,,1,43003
