Key,Remarks,id,title,num,parentid,cost,min,max,vip
90001,,90001,1抽,1,90001,88,88,288,
90002,,90002,2抽,2,90001,288,288,688,
90003,,90003,3抽,3,90001,888,888,1888,
90004,,90004,4抽,4,90001,2088,2088,4888,
90005,,90005,5抽,5,90001,5088,5088,9888,
90006,,90006,6抽,6,90001,10888,10888,18888,5
90007,,90007,7抽,7,90001,20888,20888,38888,7
90008,,90008,8抽,8,90001,40888,40888,78888,10
90009,,90009,1抽,1,90002,88,88,288,
90010,,90010,2抽,2,90002,288,288,688,
90011,,90011,3抽,3,90002,888,888,1888,
90012,,90012,4抽,4,90002,2088,2088,4888,
90013,,90013,5抽,5,90002,5088,5088,9888,
90014,,90014,6抽,6,90002,10888,10888,18888,5
90015,,90015,7抽,7,90002,20888,20888,38888,7
90016,,90016,8抽,8,90002,40888,40888,78888,10
