Key,Remarks,id,parentId,afterSomeDays,itemIdList
80001,,80001,80001,1,1_2_3_4_5_6_7_8_9_10
80002,,80002,80001,2,1_2_3_4_5_6_7_8_9_10
80003,,80003,80001,3,1_2_3_4_5_6_7_8_9_10
80004,,80004,80001,4,1_2_3_4_5_6_7_8_9_10
80005,,80005,80001,5,1_2_3_4_5_6_7_8_9_10
80006,,80006,80001,6,1_2_3_4_5_6_7_8_9_10
80007,,80007,80001,7,1_2_3_4_5_6_7_8_9_10
80008,,80008,80002,1,1_2_3_4_5_6_7_8_9_10
80009,,80009,80002,2,1_2_3_4_5_6_7_8_9_10
80010,,80010,80002,3,1_2_3_4_5_6_7_8_9_10
80011,,80011,80002,4,1_2_3_4_5_6_7_8_9_10
80012,,80012,80002,5,1_2_3_4_5_6_7_8_9_10
80013,,80013,80002,6,1_2_3_4_5_6_7_8_9_10
80014,,80014,80002,7,1_2_3_4_5_6_7_8_9_10
