key,备注,强化id,强化属性方案id,等级,增加固定属性,增加百分比属性(万分比）,属性1,值1,属性2,值2,百分比1,值1,百分比2,值2
string,string,string,int,int,string,string,string,string,string,string,string,string,string,string
key,Remarks,id,planId,level,attrData,precentAttrData,FK1,FK2,FK3,FK4,FK5,FK6,FK7,FK8
10001_1,,10001_1,10001,1,物理攻击_15;法术攻击_12,,物理攻击,15,法术攻击,12,,,,
10001_2,,10001_2,10001,2,物理攻击_30;法术攻击_24,,物理攻击,30,法术攻击,24,,,,
10001_3,,10001_3,10001,3,物理攻击_45;法术攻击_36,,物理攻击,45,法术攻击,36,,,,
10001_4,,10001_4,10001,4,物理攻击_60;法术攻击_48,,物理攻击,60,法术攻击,48,,,,
10001_5,,10001_5,10001,5,物理攻击_75;法术攻击_60,,物理攻击,75,法术攻击,60,,,,
10001_6,,10001_6,10001,6,物理攻击_90;法术攻击_72,,物理攻击,90,法术攻击,72,,,,
10001_7,,10001_7,10001,7,物理攻击_105;法术攻击_84,,物理攻击,105,法术攻击,84,,,,
10001_8,,10001_8,10001,8,物理攻击_120;法术攻击_96,,物理攻击,120,法术攻击,96,,,,
10001_9,,10001_9,10001,9,物理攻击_135;法术攻击_108,,物理攻击,135,法术攻击,108,,,,
10001_10,,10001_10,10001,10,物理攻击_150;法术攻击_120,,物理攻击,150,法术攻击,120,,,,
10001_11,,10001_11,10001,11,物理攻击_165;法术攻击_132,,物理攻击,165,法术攻击,132,,,,
10001_12,,10001_12,10001,12,物理攻击_180;法术攻击_144,,物理攻击,180,法术攻击,144,,,,
10001_13,,10001_13,10001,13,物理攻击_195;法术攻击_156,,物理攻击,195,法术攻击,156,,,,
10001_14,,10001_14,10001,14,物理攻击_210;法术攻击_168,,物理攻击,210,法术攻击,168,,,,
10001_15,,10001_15,10001,15,物理攻击_225;法术攻击_180,,物理攻击,225,法术攻击,180,,,,
10001_16,,10001_16,10001,16,物理攻击_240;法术攻击_192,,物理攻击,240,法术攻击,192,,,,
10001_17,,10001_17,10001,17,物理攻击_255;法术攻击_204,,物理攻击,255,法术攻击,204,,,,
