key,Remarks,id,planId,level,expNeed
1,,1,10001,1,80
2,,2,10001,2,240
3,,3,10001,3,400
4,,4,10001,4,560
5,,5,10001,5,720
6,,6,10001,6,880
7,,7,10001,7,1040
8,,8,10001,8,1200
9,,9,10001,9,1360
10,,10,10001,10,1520
11,,11,10001,11,1680
12,,12,10001,12,1840
13,,13,10001,13,2000
14,,14,10001,14,2160
15,,15,10001,15,2320
16,,16,10001,16,2640
17,,17,10001,17,2960
18,,18,10001,18,3280
19,,19,10001,19,3600
20,,20,10001,20,3920
21,,21,10001,21,4370
22,,22,10001,22,4820
23,,23,10001,23,5270
24,,24,10001,24,5720
25,,25,10001,25,6200
26,,26,10001,26,6680
27,,27,10001,27,7160
28,,28,10001,28,7640
29,,29,10001,29,8120
30,,30,10001,30,8600
31,,31,10001,31,9300
32,,32,10001,32,10220
33,,33,10001,33,11360
34,,34,10001,34,12720
35,,35,10001,35,14300
36,,36,10001,36,16100
37,,37,10001,37,18120
38,,38,10001,38,20300
39,,39,10001,39,22700
40,,40,10001,40,25320
41,,41,10001,41,30580
42,,42,10001,42,35840
43,,43,10001,43,41100
44,,44,10001,44,46360
45,,45,10001,45,51620
46,,46,10001,46,57540
47,,47,10001,47,63460
48,,48,10001,48,69380
49,,49,10001,49,75300
50,,50,10001,50,81220
51,,1,10001,51,88020
52,,2,10001,52,94820
53,,3,10001,53,101620
54,,4,10001,54,108420
55,,5,10001,55,115220
56,,6,10001,56,122680
57,,7,10001,57,130140
58,,8,10001,58,137600
59,,9,10001,59,145060
60,,10,10001,60,152520
61,,11,10001,61,160860
62,,12,10001,62,169200
63,,13,10001,63,177540
64,,14,10001,64,185880
65,,15,10001,65,194220
66,,16,10001,66,203220
67,,17,10001,67,212220
68,,18,10001,68,221220
69,,19,10001,69,230220
70,,20,10001,70,239220
71,,21,10001,71,248880
72,,22,10001,72,258540
73,,23,10001,73,268200
74,,24,10001,74,277860
75,,25,10001,75,287520
76,,26,10001,76,298280
77,,27,10001,77,309040
78,,28,10001,78,319800
79,,29,10001,79,330560
80,,30,10001,80,341320
81,,31,10001,81,353180
82,,32,10001,82,365040
83,,33,10001,83,376900
84,,34,10001,84,388760
85,,35,10001,85,400620
86,,36,10001,86,413800
87,,37,10001,87,426980
88,,38,10001,88,440160
89,,39,10001,89,453340
90,,40,10001,90,466520
201,,51,10002,1,30
202,,52,10002,2,30
203,,53,10002,3,30
204,,54,10002,4,30
205,,55,10002,5,30
206,,56,10002,6,30
207,,57,10002,7,30
208,,58,10002,8,50
209,,59,10002,9,60
210,,60,10002,10,70
211,,61,10002,11,80
212,,62,10002,12,90
213,,63,10002,13,100
214,,64,10002,14,125
215,,65,10002,15,150
216,,66,10002,16,175
217,,67,10002,17,200
218,,68,10002,18,225
219,,69,10002,19,250
220,,70,10002,20,285
221,,71,10002,21,380
222,,72,10002,22,476
223,,73,10002,23,570
224,,74,10002,24,667
225,,75,10002,25,760
226,,76,10002,26,858
227,,77,10002,27,891
228,,78,10002,28,924
229,,79,10002,29,957
230,,80,10002,30,990
231,,81,10002,31,1000
232,,82,10002,32,1108
233,,83,10002,33,1216
234,,84,10002,34,1324
235,,85,10002,35,1432
236,,86,10002,36,1540
237,,87,10002,37,1848
238,,88,10002,38,2112
239,,89,10002,39,2376
240,,90,10002,40,2640
241,,91,10002,41,3630
242,,92,10002,42,3960
243,,93,10002,43,4400
244,,94,10002,44,5500
245,,95,10002,45,7150
246,,96,10002,46,12350
247,,97,10002,47,13650
248,,98,10002,48,16250
249,,99,10002,49,16250
250,,100,10002,50,22100
251,,51,10002,51,26250
252,,52,10002,52,27000
253,,53,10002,53,27750
254,,54,10002,54,28500
255,,55,10002,55,33750
256,,56,10002,56,40800
257,,57,10002,57,42500
258,,58,10002,58,43350
259,,59,10002,59,44200
260,,60,10002,60,45050
261,,61,10002,61,53760
262,,62,10002,62,57600
263,,63,10002,63,58560
264,,64,10002,64,67200
265,,65,10002,65,68160
266,,66,10002,66,76320
267,,67,10002,67,89040
268,,68,10002,68,89570
269,,69,10002,69,90100
270,,70,10002,70,90630
271,,71,10002,71,99760
272,,72,10002,72,102080
273,,73,10002,73,110200
274,,74,10002,74,113680
275,,75,10002,75,121800
276,,76,10002,76,136080
277,,77,10002,77,137340
278,,78,10002,78,138600
279,,79,10002,79,139860
280,,80,10002,80,143640
281,,81,10002,81,159120
282,,82,10002,82,164560
283,,83,10002,83,168640
284,,84,10002,84,170000
285,,85,10002,85,174080
286,,86,10002,86,192720
287,,87,10002,87,197100
288,,88,10002,88,198560
289,,89,10002,89,204400
290,,90,10002,90,210240
