key,remarks,id,name,iconId,fixEquipType,levelCostPlanId,levelPlanId,qualityPlanId,starPlanId,awakenName,awakenIconId,expCostType,costPerExp,awakenTitle,awakenBeforeDec,awakenAfterDec,fk,awakenBeforeTitle,awakenAfterTitle
20200101,,20200101,铁索鞭,Fixequip/fixEquip_item_202001_01,,10001,10077,10077,10295,打神鞭,Fixequip/fixEquip_item_202001_02,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,物理符师1_1,AwakenAttr,AwakenAttr
20200102,,20200102,紫月宝珠,Fixequip/fixEquip_Magic_1001,,10001,10078,10078,10078,太阴宝珠,Fixequip/fixEquip_Magic_2001,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,物理符师1_91,AwakenAttr,AwakenAttr
20200103,,20200103,五雷令,Fixequip/fixEquip_Magic_1002,,10001,10079,10079,10079,紫霄五雷令,Fixequip/fixEquip_Magic_2002,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,物理符师1_181,AwakenAttr,AwakenAttr
20200104,,20200104,麒麟印,Fixequip/fixEquip_Magic_1003,,10001,10080,10080,10080,乾坤麒麟印,Fixequip/fixEquip_Magic_2003,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,物理符师1_271,AwakenAttr,AwakenAttr
20200105,,20200105,七宝护符,Fixequip/fixEquip_item_1002,1,10002,10293,10293,10339,飞仙护符,Fixequip/fixEquip_item_2002,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,护符,AwakenAttr,AwakenAttr
20200106,,20200106,琉璃魂器,Fixequip/fixEquip_item_1003,1,10002,10294,10294,10383,神玉魂器,Fixequip/fixEquip_item_2003,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,魂器,AwakenAttr,AwakenAttr
20200201,,20200201,七尺绫,Fixequip/fixEquip_item_202002_01,,10001,10197,10197,10296,混天绫,Fixequip/fixEquip_item_202002_02,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,法术术士1_1,AwakenAttr,AwakenAttr
20200202,,20200202,紫月宝珠,Fixequip/fixEquip_Magic_1001,,10001,10198,10198,10198,太阴宝珠,Fixequip/fixEquip_Magic_2001,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,法术术士1_91,AwakenAttr,AwakenAttr
20200203,,20200203,五雷令,Fixequip/fixEquip_Magic_1002,,10001,10199,10199,10199,紫霄五雷令,Fixequip/fixEquip_Magic_2002,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,法术术士1_181,AwakenAttr,AwakenAttr
20200204,,20200204,麒麟印,Fixequip/fixEquip_Magic_1003,,10001,10200,10200,10200,乾坤麒麟印,Fixequip/fixEquip_Magic_2003,,10,觉醒可提升属性,觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,继续觉醒可大幅提升神器的属性，可以大大地提高英雄的各项能力。,法术术士1_271,AwakenAttr,AwakenAttr
