key,Remarks,id,planId,level,attrData,precentAttrData
1,,1,10001,1,物理攻击_15;法术攻击_12,
2,,2,10001,2,物理攻击_30;法术攻击_24,
3,,3,10001,3,物理攻击_45;法术攻击_36,
4,,4,10001,4,物理攻击_60;法术攻击_48,
5,,5,10001,5,物理攻击_75;法术攻击_60,
6,,6,10001,6,物理攻击_90;法术攻击_72,
7,,7,10001,7,物理攻击_105;法术攻击_84,
8,,8,10001,8,物理攻击_120;法术攻击_96,
9,,9,10001,9,物理攻击_135;法术攻击_108,
10,,10,10001,10,物理攻击_150;法术攻击_120,
11,,11,10001,11,物理攻击_165;法术攻击_132,
12,,12,10001,12,物理攻击_180;法术攻击_144,
13,,13,10001,13,物理攻击_195;法术攻击_156,
14,,14,10001,14,物理攻击_210;法术攻击_168,
15,,15,10001,15,物理攻击_225;法术攻击_180,
16,,16,10001,16,物理攻击_240;法术攻击_192,
17,,17,10001,17,物理攻击_255;法术攻击_204,
18,,18,10001,18,物理攻击_270;法术攻击_216,
19,,19,10001,19,物理攻击_285;法术攻击_228,
20,,20,10001,20,物理攻击_300;法术攻击_240,
21,,21,10001,21,物理攻击_315;法术攻击_252,
22,,22,10001,22,物理攻击_330;法术攻击_264,
23,,23,10001,23,物理攻击_345;法术攻击_276,
24,,24,10001,24,物理攻击_360;法术攻击_288,
25,,25,10001,25,物理攻击_375;法术攻击_300,
26,,26,10001,26,物理攻击_390;法术攻击_312,
27,,27,10001,27,物理攻击_405;法术攻击_324,
28,,28,10001,28,物理攻击_420;法术攻击_336,
29,,29,10001,29,物理攻击_435;法术攻击_348,
30,,30,10001,30,物理攻击_450;法术攻击_360,
31,,31,10001,31,物理攻击_465;法术攻击_372,
32,,32,10001,32,物理攻击_480;法术攻击_384,
33,,33,10001,33,物理攻击_495;法术攻击_396,
34,,34,10001,34,物理攻击_510;法术攻击_408,
35,,35,10001,35,物理攻击_525;法术攻击_420,
36,,36,10001,36,物理攻击_540;法术攻击_432,
37,,37,10001,37,物理攻击_555;法术攻击_444,
38,,38,10001,38,物理攻击_570;法术攻击_456,
39,,39,10001,39,物理攻击_585;法术攻击_468,
40,,40,10001,40,物理攻击_600;法术攻击_480,
41,,41,10001,41,物理攻击_615;法术攻击_492,
42,,42,10001,42,物理攻击_630;法术攻击_504,
43,,43,10001,43,物理攻击_645;法术攻击_516,
44,,44,10001,44,物理攻击_660;法术攻击_528,
45,,45,10001,45,物理攻击_675;法术攻击_540,
46,,46,10001,46,物理攻击_690;法术攻击_552,
47,,47,10001,47,物理攻击_705;法术攻击_564,
48,,48,10001,48,物理攻击_720;法术攻击_576,
49,,49,10001,49,物理攻击_735;法术攻击_588,
50,,50,10001,50,物理攻击_750;法术攻击_600,
51,,51,10001,51,物理攻击_765;法术攻击_612,
52,,52,10001,52,物理攻击_780;法术攻击_624,
53,,53,10001,53,物理攻击_795;法术攻击_636,
54,,54,10001,54,物理攻击_810;法术攻击_648,
55,,55,10001,55,物理攻击_825;法术攻击_660,
56,,56,10001,56,物理攻击_840;法术攻击_672,
57,,57,10001,57,物理攻击_855;法术攻击_684,
58,,58,10001,58,物理攻击_870;法术攻击_696,
59,,59,10001,59,物理攻击_885;法术攻击_708,
60,,60,10001,60,物理攻击_900;法术攻击_720,
61,,61,10001,61,物理攻击_915;法术攻击_732,
62,,62,10001,62,物理攻击_930;法术攻击_744,
63,,63,10001,63,物理攻击_945;法术攻击_756,
64,,64,10001,64,物理攻击_960;法术攻击_768,
65,,65,10001,65,物理攻击_975;法术攻击_780,
66,,66,10001,66,物理攻击_990;法术攻击_792,
67,,67,10001,67,物理攻击_1005;法术攻击_804,
68,,68,10001,68,物理攻击_1020;法术攻击_816,
69,,69,10001,69,物理攻击_1035;法术攻击_828,
70,,70,10001,70,物理攻击_1050;法术攻击_840,
71,,71,10001,71,物理攻击_1065;法术攻击_852,
72,,72,10001,72,物理攻击_1080;法术攻击_864,
73,,73,10001,73,物理攻击_1095;法术攻击_876,
74,,74,10001,74,物理攻击_1110;法术攻击_888,
75,,75,10001,75,物理攻击_1125;法术攻击_900,
76,,76,10001,76,物理攻击_1140;法术攻击_912,
77,,77,10001,77,物理攻击_1155;法术攻击_924,
78,,78,10001,78,物理攻击_1170;法术攻击_936,
79,,79,10001,79,物理攻击_1185;法术攻击_948,
80,,80,10001,80,物理攻击_1200;法术攻击_960,
81,,81,10001,81,物理攻击_1215;法术攻击_972,
82,,82,10001,82,物理攻击_1230;法术攻击_984,
83,,83,10001,83,物理攻击_1245;法术攻击_996,
84,,84,10001,84,物理攻击_1260;法术攻击_1008,
85,,85,10001,85,物理攻击_1275;法术攻击_1020,
86,,86,10001,86,物理攻击_1290;法术攻击_1032,
87,,87,10001,87,物理攻击_1305;法术攻击_1044,
88,,88,10001,88,物理攻击_1320;法术攻击_1056,
89,,89,10001,89,物理攻击_1335;法术攻击_1068,
90,,90,10001,90,物理攻击_1350;法术攻击_1080,
91,,91,10002,1,生命_40,
92,,92,10002,2,生命_80,
93,,93,10002,3,生命_120,
94,,94,10002,4,生命_160,
95,,95,10002,5,生命_200,
96,,96,10002,6,生命_240,
97,,97,10002,7,生命_280,
98,,98,10002,8,生命_320,
99,,99,10002,9,生命_360,
100,,100,10002,10,生命_400,
101,,101,10002,11,生命_440,
102,,102,10002,12,生命_480,
103,,103,10002,13,生命_520,
104,,104,10002,14,生命_560,
105,,105,10002,15,生命_600,
106,,106,10002,16,生命_640,
107,,107,10002,17,生命_680,
108,,108,10002,18,生命_720,
109,,109,10002,19,生命_760,
110,,110,10002,20,生命_800,
111,,111,10002,21,生命_840,
112,,112,10002,22,生命_880,
113,,113,10002,23,生命_920,
114,,114,10002,24,生命_960,
115,,115,10002,25,生命_1000,
116,,116,10002,26,生命_1040,
117,,117,10002,27,生命_1080,
118,,118,10002,28,生命_1120,
119,,119,10002,29,生命_1160,
120,,120,10002,30,生命_1200,
121,,121,10002,31,生命_1240,
122,,122,10002,32,生命_1280,
123,,123,10002,33,生命_1320,
124,,124,10002,34,生命_1360,
125,,125,10002,35,生命_1400,
126,,126,10002,36,生命_1440,
127,,127,10002,37,生命_1480,
128,,128,10002,38,生命_1520,
129,,129,10002,39,生命_1560,
