key,remarks,Id,desc,layerID,rate,icon,buffId,fabaoHot1,fabaoHot2,fabaoHot3,fabaoHot4
1,,1,对手增加2%生命，建议使用法宝：,101,1000,Skill/602001a,70000022,602101_70000002,602102_70000002,602103_70000002,602104_70000002
2,,2,对手增加2%物理攻击，建议使用法宝：,101,1000,Skill/602002,70000023,602101_70000002,602102_70000002,602103_70000002,602104_70000002
3,,3,对手增加2%法术攻击，建议使用法宝：,101,1000,Skill/602002a,70000024,602101_70000002,602102_70000002,602103_70000002,602104_70000002
4,,4,对手增加2%物理防御，建议使用法宝：,101,1000,Skill/602003,70000025,602101_70000002,602102_70000002,602103_70000002,602104_70000002
5,,5,对手增加2%法术防御，建议使用法宝：,101,1000,Skill/602004,70000026,602101_70000002,602102_70000002,602103_70000002,602104_70000002
6,,6,对手增加2%暴击，建议使用法宝：,101,1000,Skill/602005,70000027,602101_70000002,602102_70000002,602103_70000002,602104_70000002
7,,7,对手增加2%暴击伤害，建议使用法宝：,101,1000,Skill/602006,70000028,602101_70000002,602102_70000002,602103_70000002,602104_70000002
8,,8,对手增加6%生命，建议使用法宝：,102,1000,Skill/602001a,70000029,602101_70000002,602102_70000002,602103_70000002,602104_70000002
9,,9,对手增加6%物理攻击，建议使用法宝：,102,1000,Skill/602002,70000030,602101_70000002,602102_70000002,602103_70000002,602104_70000002
10,,10,对手增加6%法术攻击，建议使用法宝：,102,1000,Skill/602002a,70000031,602101_70000002,602102_70000002,602103_70000002,602104_70000002
11,,11,对手增加6%物理防御，建议使用法宝：,102,1000,Skill/602003,70000032,602101_70000002,602102_70000002,602103_70000002,602104_70000002
12,,12,对手增加6%法术防御，建议使用法宝：,102,1000,Skill/602004,70000033,602101_70000002,602102_70000002,602103_70000002,602104_70000002
13,,13,对手增加6%暴击，建议使用法宝：,102,1000,Skill/602005,70000034,602101_70000002,602102_70000002,602103_70000002,602104_70000002
14,,14,对手增加6%暴击伤害，建议使用法宝：,102,1000,Skill/602006,70000035,602101_70000002,602102_70000002,602103_70000002,602104_70000002
15,,15,对手增加10%生命，建议使用法宝：,103,1000,Skill/602001a,70000036,602101_70000002,602102_70000002,602103_70000002,602104_70000002
16,,16,对手增加10%物理攻击，建议使用法宝：,103,1000,Skill/602002,70000037,602101_70000002,602102_70000002,602103_70000002,602104_70000002
17,,17,对手增加10%法术攻击，建议使用法宝：,103,1000,Skill/602002a,70000038,602101_70000002,602102_70000002,602103_70000002,602104_70000002
18,,18,对手增加10%物理防御，建议使用法宝：,103,1000,Skill/602003,70000039,602101_70000002,602102_70000002,602103_70000002,602104_70000002
19,,19,对手增加10%法术防御，建议使用法宝：,103,1000,Skill/602004,70000040,602101_70000002,602102_70000002,602103_70000002,602104_70000002
20,,20,对手增加10%暴击，建议使用法宝：,103,1000,Skill/602005,70000041,602101_70000002,602102_70000002,602103_70000002,602104_70000002
21,,21,对手增加10%暴击伤害，建议使用法宝：,103,1000,Skill/602006,70000042,602101_70000002,602102_70000002,602103_70000002,602104_70000002
22,,22,对手增加4%生命，建议使用法宝：,104,1000,Skill/602001a,70000043,602101_70000002,602102_70000002,602103_70000002,602104_70000002
23,,23,对手增加4%物理攻击，建议使用法宝：,104,1000,Skill/602002,70000044,602101_70000002,602102_70000002,602103_70000002,602104_70000002
24,,24,对手增加4%法术攻击，建议使用法宝：,104,1000,Skill/602002a,70000045,602101_70000002,602102_70000002,602103_70000002,602104_70000002
25,,25,对手增加4%物理防御，建议使用法宝：,104,1000,Skill/602003,70000046,602101_70000002,602102_70000002,602103_70000002,602104_70000002
26,,26,对手增加4%法术防御，建议使用法宝：,104,1000,Skill/602004,70000047,602101_70000002,602102_70000002,602103_70000002,602104_70000002
27,,27,对手增加4%暴击，建议使用法宝：,104,1000,Skill/602005,70000048,602101_70000002,602102_70000002,602103_70000002,602104_70000002
28,,28,对手增加4%暴击伤害，建议使用法宝：,104,1000,Skill/602006,70000049,602101_70000002,602102_70000002,602103_70000002,602104_70000002
29,,29,对手增加12%生命，建议使用法宝：,105,1000,Skill/602001a,70000050,602101_70000002,602102_70000002,602103_70000002,602104_70000002
30,,30,对手增加12%物理攻击，建议使用法宝：,105,1000,Skill/602002,70000051,602101_70000002,602102_70000002,602103_70000002,602104_70000002
31,,31,对手增加12%法术攻击，建议使用法宝：,105,1000,Skill/602002a,70000052,602101_70000002,602102_70000002,602103_70000002,602104_70000002
32,,32,对手增加12%物理防御，建议使用法宝：,105,1000,Skill/602003,70000053,602101_70000002,602102_70000002,602103_70000002,602104_70000002
33,,33,对手增加12%法术防御，建议使用法宝：,105,1000,Skill/602004,70000054,602101_70000002,602102_70000002,602103_70000002,602104_70000002
34,,34,对手增加12%暴击，建议使用法宝：,105,1000,Skill/602005,70000055,602101_70000002,602102_70000002,602103_70000002,602104_70000002
35,,35,对手增加12%暴击伤害，建议使用法宝：,105,1000,Skill/602006,70000056,602101_70000002,602102_70000002,602103_70000002,602104_70000002
36,,36,对手增加20%生命，建议使用法宝：,106,1000,Skill/602001a,70000057,602101_70000002,602102_70000002,602103_70000002,602104_70000002
37,,37,对手增加20%物理攻击，建议使用法宝：,106,1000,Skill/602002,70000058,602101_70000002,602102_70000002,602103_70000002,602104_70000002
38,,38,对手增加20%法术攻击，建议使用法宝：,106,1000,Skill/602002a,70000059,602101_70000002,602102_70000002,602103_70000002,602104_70000002
39,,39,对手增加20%物理防御，建议使用法宝：,106,1000,Skill/602003,70000060,602101_70000002,602102_70000002,602103_70000002,602104_70000002
40,,40,对手增加20%法术防御，建议使用法宝：,106,1000,Skill/602004,70000061,602101_70000002,602102_70000002,602103_70000002,602104_70000002
41,,41,对手增加20%暴击，建议使用法宝：,106,1000,Skill/602005,70000062,602101_70000002,602102_70000002,602103_70000002,602104_70000002
42,,42,对手增加20%暴击伤害，建议使用法宝：,106,1000,Skill/602006,70000063,602101_70000002,602102_70000002,602103_70000002,602104_70000002
43,,43,对手增加6%生命，建议使用法宝：,107,1000,Skill/602001a,70000064,602101_70000002,602102_70000002,602103_70000002,602104_70000002
44,,44,对手增加6%物理攻击，建议使用法宝：,107,1000,Skill/602002,70000065,602101_70000002,602102_70000002,602103_70000002,602104_70000002
45,,45,对手增加6%法术攻击，建议使用法宝：,107,1000,Skill/602002a,70000066,602101_70000002,602102_70000002,602103_70000002,602104_70000002
46,,46,对手增加6%物理防御，建议使用法宝：,107,1000,Skill/602003,70000067,602101_70000002,602102_70000002,602103_70000002,602104_70000002
47,,47,对手增加6%法术防御，建议使用法宝：,107,1000,Skill/602004,70000068,602101_70000002,602102_70000002,602103_70000002,602104_70000002
48,,48,对手增加6%暴击，建议使用法宝：,107,1000,Skill/602005,70000069,602101_70000002,602102_70000002,602103_70000002,602104_70000002
49,,49,对手增加6%暴击伤害，建议使用法宝：,107,1000,Skill/602006,70000070,602101_70000002,602102_70000002,602103_70000002,602104_70000002
50,,50,对手增加18%生命，建议使用法宝：,108,1000,Skill/602001a,70000071,602101_70000002,602102_70000002,602103_70000002,602104_70000002
51,,51,对手增加18%物理攻击，建议使用法宝：,108,1000,Skill/602002,70000072,602101_70000002,602102_70000002,602103_70000002,602104_70000002
52,,52,对手增加18%法术攻击，建议使用法宝：,108,1000,Skill/602002a,70000073,602101_70000002,602102_70000002,602103_70000002,602104_70000002
53,,53,对手增加18%物理防御，建议使用法宝：,108,1000,Skill/602003,70000074,602101_70000002,602102_70000002,602103_70000002,602104_70000002
54,,54,对手增加18%法术防御，建议使用法宝：,108,1000,Skill/602004,70000075,602101_70000002,602102_70000002,602103_70000002,602104_70000002
55,,55,对手增加18%暴击，建议使用法宝：,108,1000,Skill/602005,70000076,602101_70000002,602102_70000002,602103_70000002,602104_70000002
56,,56,对手增加18%暴击伤害，建议使用法宝：,108,1000,Skill/602006,70000077,602101_70000002,602102_70000002,602103_70000002,602104_70000002
57,,57,对手增加30%生命，建议使用法宝：,109,1000,Skill/602001a,70000078,602101_70000002,602102_70000002,602103_70000002,602104_70000002
58,,58,对手增加30%物理攻击，建议使用法宝：,109,1000,Skill/602002,70000079,602101_70000002,602102_70000002,602103_70000002,602104_70000002
59,,59,对手增加30%法术攻击，建议使用法宝：,109,1000,Skill/602002a,70000080,602101_70000002,602102_70000002,602103_70000002,602104_70000002
60,,60,对手增加30%物理防御，建议使用法宝：,109,1000,Skill/602003,70000081,602101_70000002,602102_70000002,602103_70000002,602104_70000002
61,,61,对手增加30%法术防御，建议使用法宝：,109,1000,Skill/602004,70000082,602101_70000002,602102_70000002,602103_70000002,602104_70000002
62,,62,对手增加30%暴击，建议使用法宝：,109,1000,Skill/602005,70000083,602101_70000002,602102_70000002,602103_70000002,602104_70000002
63,,63,对手增加30%暴击伤害，建议使用法宝：,109,1000,Skill/602006,70000084,602101_70000002,602102_70000002,602103_70000002,602104_70000002
64,,64,对手增加8%生命，建议使用法宝：,110,1000,Skill/602001a,70000085,602101_70000002,602102_70000002,602103_70000002,602104_70000002
65,,65,对手增加8%物理攻击，建议使用法宝：,110,1000,Skill/602002,70000086,602101_70000002,602102_70000002,602103_70000002,602104_70000002
66,,66,对手增加8%法术攻击，建议使用法宝：,110,1000,Skill/602002a,70000087,602101_70000002,602102_70000002,602103_70000002,602104_70000002
67,,67,对手增加8%物理防御，建议使用法宝：,110,1000,Skill/602003,70000088,602101_70000002,602102_70000002,602103_70000002,602104_70000002
68,,68,对手增加8%法术防御，建议使用法宝：,110,1000,Skill/602004,70000089,602101_70000002,602102_70000002,602103_70000002,602104_70000002
69,,69,对手增加8%暴击，建议使用法宝：,110,1000,Skill/602005,70000090,602101_70000002,602102_70000002,602103_70000002,602104_70000002
70,,70,对手增加8%暴击伤害，建议使用法宝：,110,1000,Skill/602006,70000091,602101_70000002,602102_70000002,602103_70000002,602104_70000002
71,,71,对手增加24%生命，建议使用法宝：,111,1000,Skill/602001a,70000092,602101_70000002,602102_70000002,602103_70000002,602104_70000002
72,,72,对手增加24%物理攻击，建议使用法宝：,111,1000,Skill/602002,70000093,602101_70000002,602102_70000002,602103_70000002,602104_70000002
73,,73,对手增加24%法术攻击，建议使用法宝：,111,1000,Skill/602002a,70000094,602101_70000002,602102_70000002,602103_70000002,602104_70000002
74,,74,对手增加24%物理防御，建议使用法宝：,111,1000,Skill/602003,70000095,602101_70000002,602102_70000002,602103_70000002,602104_70000002
75,,75,对手增加24%法术防御，建议使用法宝：,111,1000,Skill/602004,70000096,602101_70000002,602102_70000002,602103_70000002,602104_70000002
76,,76,对手增加24%暴击，建议使用法宝：,111,1000,Skill/602005,70000097,602101_70000002,602102_70000002,602103_70000002,602104_70000002
77,,77,对手增加24%暴击伤害，建议使用法宝：,111,1000,Skill/602006,70000098,602101_70000002,602102_70000002,602103_70000002,602104_70000002
78,,78,对手增加40%生命，建议使用法宝：,112,1000,Skill/602001a,70000099,602101_70000002,602102_70000002,602103_70000002,602104_70000002
79,,79,对手增加40%物理攻击，建议使用法宝：,112,1000,Skill/602002,70000100,602101_70000002,602102_70000002,602103_70000002,602104_70000002
80,,80,对手增加40%法术攻击，建议使用法宝：,112,1000,Skill/602002a,70000101,602101_70000002,602102_70000002,602103_70000002,602104_70000002
81,,81,对手增加40%物理防御，建议使用法宝：,112,1000,Skill/602003,70000102,602101_70000002,602102_70000002,602103_70000002,602104_70000002
82,,82,对手增加40%法术防御，建议使用法宝：,112,1000,Skill/602004,70000103,602101_70000002,602102_70000002,602103_70000002,602104_70000002
83,,83,对手增加40%暴击，建议使用法宝：,112,1000,Skill/602005,70000104,602101_70000002,602102_70000002,602103_70000002,602104_70000002
84,,84,对手增加40%暴击伤害，建议使用法宝：,112,1000,Skill/602006,70000105,602101_70000002,602102_70000002,602103_70000002,602104_70000002
85,,85,对手增加10%生命，建议使用法宝：,113,1000,Skill/602001a,70000106,602101_70000002,602102_70000002,602103_70000002,602104_70000002
86,,86,对手增加10%物理攻击，建议使用法宝：,113,1000,Skill/602002,70000107,602101_70000002,602102_70000002,602103_70000002,602104_70000002
87,,87,对手增加10%法术攻击，建议使用法宝：,113,1000,Skill/602002a,70000108,602101_70000002,602102_70000002,602103_70000002,602104_70000002
88,,88,对手增加10%物理防御，建议使用法宝：,113,1000,Skill/602003,70000109,602101_70000002,602102_70000002,602103_70000002,602104_70000002
89,,89,对手增加10%法术防御，建议使用法宝：,113,1000,Skill/602004,70000110,602101_70000002,602102_70000002,602103_70000002,602104_70000002
90,,90,对手增加10%暴击，建议使用法宝：,113,1000,Skill/602005,70000111,602101_70000002,602102_70000002,602103_70000002,602104_70000002
91,,91,对手增加10%暴击伤害，建议使用法宝：,113,1000,Skill/602006,70000112,602101_70000002,602102_70000002,602103_70000002,602104_70000002
92,,92,对手增加30%生命，建议使用法宝：,114,1000,Skill/602001a,70000113,602101_70000002,602102_70000002,602103_70000002,602104_70000002
93,,93,对手增加30%物理攻击，建议使用法宝：,114,1000,Skill/602002,70000114,602101_70000002,602102_70000002,602103_70000002,602104_70000002
94,,94,对手增加30%法术攻击，建议使用法宝：,114,1000,Skill/602002a,70000115,602101_70000002,602102_70000002,602103_70000002,602104_70000002
95,,95,对手增加30%物理防御，建议使用法宝：,114,1000,Skill/602003,70000116,602101_70000002,602102_70000002,602103_70000002,602104_70000002
96,,96,对手增加30%法术防御，建议使用法宝：,114,1000,Skill/602004,70000117,602101_70000002,602102_70000002,602103_70000002,602104_70000002
97,,97,对手增加30%暴击，建议使用法宝：,114,1000,Skill/602005,70000118,602101_70000002,602102_70000002,602103_70000002,602104_70000002
98,,98,对手增加30%暴击伤害，建议使用法宝：,114,1000,Skill/602006,70000119,602101_70000002,602102_70000002,602103_70000002,602104_70000002
99,,99,对手增加50%生命，建议使用法宝：,115,1000,Skill/602001a,70000120,602101_70000002,602102_70000002,602103_70000002,602104_70000002
100,,100,对手增加50%物理攻击，建议使用法宝：,115,1000,Skill/602002,70000121,602101_70000002,602102_70000002,602103_70000002,602104_70000002
101,,101,对手增加50%法术攻击，建议使用法宝：,115,1000,Skill/602002a,70000122,602101_70000002,602102_70000002,602103_70000002,602104_70000002
102,,102,对手增加50%物理防御，建议使用法宝：,115,1000,Skill/602003,70000123,602101_70000002,602102_70000002,602103_70000002,602104_70000002
103,,103,对手增加50%法术防御，建议使用法宝：,115,1000,Skill/602004,70000124,602101_70000002,602102_70000002,602103_70000002,602104_70000002
104,,104,对手增加50%暴击，建议使用法宝：,115,1000,Skill/602005,70000125,602101_70000002,602102_70000002,602103_70000002,602104_70000002
105,,105,对手增加50%暴击伤害，建议使用法宝：,115,1000,Skill/602006,70000126,602101_70000002,602102_70000002,602103_70000002,602104_70000002
106,,106,对手增加12%生命，建议使用法宝：,116,1000,Skill/602001a,70000127,602101_70000002,602102_70000002,602103_70000002,602104_70000002
107,,107,对手增加12%物理攻击，建议使用法宝：,116,1000,Skill/602002,70000128,602101_70000002,602102_70000002,602103_70000002,602104_70000002
108,,108,对手增加12%法术攻击，建议使用法宝：,116,1000,Skill/602002a,70000129,602101_70000002,602102_70000002,602103_70000002,602104_70000002
109,,109,对手增加12%物理防御，建议使用法宝：,116,1000,Skill/602003,70000130,602101_70000002,602102_70000002,602103_70000002,602104_70000002
110,,110,对手增加12%法术防御，建议使用法宝：,116,1000,Skill/602004,70000131,602101_70000002,602102_70000002,602103_70000002,602104_70000002
111,,111,对手增加12%暴击，建议使用法宝：,116,1000,Skill/602005,70000132,602101_70000002,602102_70000002,602103_70000002,602104_70000002
112,,112,对手增加12%暴击伤害，建议使用法宝：,116,1000,Skill/602006,70000133,602101_70000002,602102_70000002,602103_70000002,602104_70000002
113,,113,对手增加36%生命，建议使用法宝：,117,1000,Skill/602001a,70000134,602101_70000002,602102_70000002,602103_70000002,602104_70000002
114,,114,对手增加36%物理攻击，建议使用法宝：,117,1000,Skill/602002,70000135,602101_70000002,602102_70000002,602103_70000002,602104_70000002
115,,115,对手增加36%法术攻击，建议使用法宝：,117,1000,Skill/602002a,70000136,602101_70000002,602102_70000002,602103_70000002,602104_70000002
116,,116,对手增加36%物理防御，建议使用法宝：,117,1000,Skill/602003,70000137,602101_70000002,602102_70000002,602103_70000002,602104_70000002
117,,117,对手增加36%法术防御，建议使用法宝：,117,1000,Skill/602004,70000138,602101_70000002,602102_70000002,602103_70000002,602104_70000002
118,,118,对手增加36%暴击，建议使用法宝：,117,1000,Skill/602005,70000139,602101_70000002,602102_70000002,602103_70000002,602104_70000002
119,,119,对手增加36%暴击伤害，建议使用法宝：,117,1000,Skill/602006,70000140,602101_70000002,602102_70000002,602103_70000002,602104_70000002
