key,Remarks,tip,offsetX,offsetY,mmIcon,personName,audio
100010020,,你好~我是昆仑小师妹！师父让我与你同行~我们先去[ff0000]钓鱼台[-]吧。,30,170,,小狐仙,Conductress/Conductress_0001.mp3
100010040,,这里就是钓鱼台了~叫上[ff0000]姜子牙[-]一起出山吧。,-160,-170,,小狐仙,Conductress/Conductress_0002.mp3
100010080,,这是天尊研究的战阵，能支持[ff0000]五人[-]共同作战,120,,,小狐仙,
100010090,,在战斗前，我们需要通过布阵来选择共同作战的队友，把姜子牙放入战阵之中吧！,120,,,小狐仙,Conductress/Conductress_0003.mp3
100010100,,布阵成功！让我们去接受道行天尊的出山考验吧！,25,,,小狐仙,Conductress/Conductress_0004.mp3
100010120,,"这里是风息谷,道行天尊正在谷内等我们呢~",-161,77,,小狐仙,Conductress/Conductress_0005.mp3
100010170,,别急着赶路，方才的战斗中掉了件[FF0000]装备[-]，我们去看看吧！,190,-125,,小狐仙,Conductress/Conductress_0006.mp3
100010180,,[80ff00]绿色加号[-]表明有可穿戴的装备，看来获得的装备刚好适合我们。,144,-10,,小狐仙,Conductress/Conductress_0007.mp3
100010190,,穿好装备之后，属性会获得提升，迅速变强！,,-110,,小狐仙,Conductress/Conductress_0008.mp3
100010210,,英雄[ff0000]穿齐装备[-]后可以[ff0000]进阶[-]哦，继续前进收集装备吧！,155,-170,,小狐仙,Conductress/Conductress_0009.mp3
100010240,,道行天尊正在[ffbb00]释放技能[-]，使用姜子牙的控制技能可以[ffbb00]打断[-]他！,-200,-60,,小狐仙,Conductress/Conductress_0034.mp3
100010260,,又有新装备可以穿啦！我们快穿上试试吧。,165,-190,,小狐仙,Conductress/Conductress_0010.mp3
100010270,,装备穿齐了，终于可以[ff0000]进阶[-]了！,,-110,,小狐仙,Conductress/Conductress_0011.mp3
100010280,,已经成功进阶啦，进阶后人物的品质会变化哦~,-50,,,小狐仙,Conductress/Conductress_0012.mp3
100010290,,"品质高低顺序为：[ff8e01]橙[-]>[e41dff]紫[-]>[2ac0ff]蓝[-]>[80ff00]绿[-]>白
为了提升至更高的品质而努力吧！ ",-120,40,,小狐仙,Conductress/Conductress_0013.mp3
100010301,,让我们进入第二章继续冒险吧！,-50,,,小狐仙,
100010330,,继续前进，穿过前方的桃花渊，就可以下山了~,180,-95,,小狐仙,Conductress/Conductress_0015.mp3
