key,Remarks,itemId,weight,leastNum,maxNum,formatId
1,,700190,80,1,2,43001
2,,700167,80,1,2,43001
3,,700149,80,1,2,43001
4,,700137,80,1,2,43001
5,,700125,80,1,2,43001
6,,700113,80,1,2,43001
7,,700101,80,1,2,43001
8,,700038,80,1,2,43001
9,,700026,80,1,2,43001
10,,700014,80,1,2,43001
11,,700002,20,1,3,43001
12,,700182,20,1,3,43001
13,,700175,20,1,3,43001
14,,700138,20,1,3,43001
15,,700126,20,1,3,43001
16,,700114,20,1,3,43001
17,,700102,20,1,3,43001
18,,700075,20,1,3,43001
19,,700039,20,1,3,43001
20,,700027,20,1,3,43001
21,,700015,20,1,3,43001
22,,700003,20,1,3,43001
23,,702191,20,1,3,43001
24,,702159,20,1,3,43001
25,,707139,20,1,3,43001
26,,707127,80,1,2,43001
27,,707115,80,1,2,43001
28,,702103,80,1,2,43001
29,,707096,80,1,2,43001
30,,707092,80,1,2,43001
31,,707040,20,1,3,43001
32,,707028,20,1,3,43001
33,,707016,20,1,3,43001
34,,702004,20,1,3,43001
35,,702192,20,1,3,43001
36,,702183,80,1,2,43001
37,,702176,80,1,2,43001
38,,702169,80,1,2,43001
39,,702140,80,1,2,43001
40,,707128,80,1,2,43001
41,,707116,20,1,3,43001
42,,707104,20,1,3,43001
43,,702065,20,1,3,43001
44,,702041,20,1,3,43001
45,,707029,20,1,3,43001
46,,707017,80,1,2,43001
47,,707005,80,1,2,43001
48,,704001,,1,2,43001
49,,704017,,1,1,43001
50,,704019,,1,1,43001
51,,704016,,1,1,43001
52,,704009,,1,1,43001
53,,704001,,1,2,43001
54,,704010,,1,1,43001
55,,704030,,1,2,43001
56,,704018,,1,1,43001
57,,704033,,1,2,43001
58,,704026,,1,1,43001
59,,704011,,1,2,43001
60,,704027,,1,1,43001
61,,704024,,1,2,43001
62,,704035,,1,1,43001
63,,700182,60,1,2,43002
64,,700175,60,1,2,43002
65,,700138,60,1,2,43002
66,,700126,60,1,2,43002
67,,700114,60,1,2,43002
68,,700102,60,1,2,43002
69,,700075,60,1,2,43002
70,,700039,60,1,2,43002
71,,700027,60,1,2,43002
72,,700015,60,1,2,43002
73,,700003,20,1,3,43002
74,,702191,20,1,3,43002
75,,702159,20,1,3,43002
76,,707139,20,1,3,43002
77,,707127,20,1,3,43002
78,,707115,20,1,3,43002
79,,702103,20,1,3,43002
80,,707096,20,1,3,43002
81,,707092,20,1,3,43002
82,,707040,20,1,3,43002
83,,707028,20,1,3,43002
84,,707016,20,1,3,43002
85,,702004,20,1,3,43002
86,,702192,20,1,3,43002
87,,702183,20,1,3,43002
88,,702176,60,1,2,43002
89,,702169,60,1,2,43002
90,,702140,60,1,2,43002
91,,707128,60,1,2,43002
92,,707116,60,1,2,43002
93,,707104,20,1,3,43002
94,,702065,20,1,3,43002
95,,702041,20,1,3,43002
96,,707029,20,1,3,43002
97,,707017,20,1,3,43002
98,,707005,60,1,2,43002
99,,702184,60,1,2,43002
100,,702141,60,1,2,43002
101,,707129,60,1,2,43002
102,,707117,60,1,2,43002
