key,Remarks,name1,name2,name3
1,,冀州,夺魄,门
2,,兖州,绝地,楼
3,,青州,封魔,舫
4,,徐州,涡卷,院
5,,扬州,尊胜,剑派
6,,荆州,纯阳,宗
7,,豫州,开山,谷
8,,梁洲,天雷,界
9,,雍州,寒霜,堂
10,,幽州,龙凤,岛
11,,并州,兑泽,派
12,,营州,白光,阁
13,,益州,凶冥,教
14,,,夺心,世家
15,,,世尊,殿
16,,,镰鼬,书院
17,,,先天,盟
18,,,蚀精,山
19,,,圣神,圣殿
20,,,凶牙,寺
21,,,变幻,道
22,,,悟禅,神教
23,,,铁骨,观
24,,,圣龙,会
25,,,圣光,府
26,,,无间,寨
27,,,天仙,亭
28,,,紫凰,党
29,,,碧云,族
30,,,天魔,居
31,,,摩诃,山庄
32,,,碧炎,宫
33,,,飞蛇,
34,,,直传,
35,,,释迦,
36,,,凤王,
37,,,雷鸣,
38,,,暗黑,
39,,,夺命,
40,,,冰蚕,
41,,,醉梦,
42,,,血虹,
43,,,御虚,
44,,,霸王,
45,,,归元,
46,,,点星,
47,,,星陨,
48,,,渡生,
49,,,龙牙,
50,,,天空,
51,,,蛤蟆,
52,,,螺旋,
53,,,飞云,
54,,,风雨,
55,,,梅花,
56,,,至尊,
57,,,北斗,
58,,,血网,
59,,,闇黑,
60,,,龙凰,
61,,,破地,
62,,,狂沙,
63,,,巽风,
64,,,无想,
65,,,白龙,
66,,,赤阳,
67,,,巨鲸,
68,,,紫微,
69,,,逍遥,
70,,,满月,
71,,,真传,
72,,,炎龙,
73,,,销魂,
74,,,蛊风,
75,,,八卦,
76,,,苍狼,
77,,,银丝,
78,,,荒神,
79,,,碎星,
80,,,离魂,
81,,,天命,
82,,,追风,
83,,,定禅,
84,,,水鸟,
85,,,飞鹤,
86,,,斩日,
87,,,赤羽,
88,,,擎雷,
89,,,庄严,
90,,,惊龙,
91,,,皆传,
92,,,开膛,
93,,,苍羽,
94,,,琉焰,
95,,,异魔,
96,,,金翼,
97,,,皇极,
98,,,破元,
99,,,惊魂,
100,,,皇寨,
101,,,闪电,
102,,,青阳,
103,,,森罗,
104,,,千里,
105,,,菩提,
106,,,天武,
107,,,虎牙,
108,,,艮山,
109,,,终极,
110,,,屠神,
111,,,天罡,
112,,,金胎,
113,,,霓虹,
114,,,天蝎,
115,,,两仪,
116,,,天网,
117,,,无踪,
118,,,元阳,
119,,,神魔,
120,,,大悲,
121,,,游鱼,
122,,,慈航,
123,,,蝎王,
124,,,缺月,
125,,,无量,
126,,,相思,
127,,,天鹤,
128,,,缠心,
129,,,血焰,
130,,,烽火,
131,,,狂尸,
132,,,菩萨,
133,,,吹雪,
134,,,玉蟾,
135,,,雷火,
136,,,火云,
137,,,三界,
138,,,七曜,
139,,,创世,
140,,,鬼哭,
141,,,九鼎,
142,,,迎风,
143,,,龙虎,
144,,,飞沙,
145,,,霸鲸,
146,,,蛇蝎,
147,,,诛仙,
148,,,水云,
149,,,霓光,
150,,,天虎,
151,,,宇宙,
152,,,绝情,
153,,,暗鸦,
154,,,水月,
155,,,佛光,
156,,,赤焰,
157,,,无华,
158,,,太初,
159,,,赤月,
160,,,横练,
161,,,血手,
162,,,迅蛇,
163,,,大乘,
164,,,封神,
165,,,赤虹,
166,,,迴旋,
167,,,紫阳,
168,,,大日,
169,,,雄鹰,
170,,,观音,
171,,,电网,
172,,,山海,
173,,,离恨,
174,,,紫云,
175,,,血雨,
176,,,火凤,
177,,,冲霄,
178,,,锁穴,
179,,,飞烟,
180,,,龙宫,
181,,,潇湘,
182,,,花雨,
183,,,虚空,
184,,,赤龙,
185,,,巨鲨,
186,,,琉光,
187,,,玄冰,
188,,,极上,
189,,,斩铁,
190,,,朱雀,
191,,,天翔,
192,,,爆炎,
193,,,达摩,
194,,,霓霞,
195,,,阳炎,
