Key,Remarks,Id,Type,modeId,level,HeroAttackRate,HeroPhysicalDefenseRate,HeroMagicDefenseRate,HeroLifeRate,MonsterAttack,MonsterPhysicalDefense,MonsterMagicDefense,MonsterLife,Hide,Enter,Die,Normal,Skill01,Skill02,Skill03,Skill04,Skill05,skillOpenCondition,Scale,attackType,viewRange,moveSpeed,AttackRange,reactionTime,doHurt,hardStraight,exemptPhysiqueDef,exemptSpiritDef,AIGroupId
500003_1,,500003_1,,500003,1,1,,,,,,,"3,283",1,50000308,50000309,50000300_1,,50000302_1,50000303_1,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_2,,500003_2,,500003,2,1,,,,,,,"4,140",1,50000308,50000309,50000300_1,,50000302_2,50000303_2,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_3,,500003_3,,500003,3,1,,,,,,,"5,053",1,50000308,50000309,50000300_1,,50000302_3,50000303_3,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_4,,500003_4,,500003,4,1,,,,,,,"6,021",1,50000308,50000309,50000300_1,,50000302_4,50000303_4,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_5,,500003_5,,500003,5,1,,,,,,,"7,044",1,50000308,50000309,50000300_1,,50000302_5,50000303_5,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_6,,500003_6,,500003,6,1,,,,,,,"8,122",1,50000308,50000309,50000300_1,,50000302_6,50000303_6,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_7,,500003_7,,500003,7,1,,,,,,,"9,255",1,50000308,50000309,50000300_1,,50000302_7,50000303_7,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_8,,500003_8,,500003,8,1,,,,,,,"10,443",1,50000308,50000309,50000300_1,,50000302_8,50000303_8,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_9,,500003_9,,500003,9,1,,,,,,,"11,687",1,50000308,50000309,50000300_1,,50000302_9,50000303_9,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_10,,500003_10,,500003,10,1,,,,,,,"12,986",1,50000308,50000309,50000300_1,,50000302_10,50000303_10,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_11,,500003_11,,500003,11,1,,,,,,,"14,339",1,50000308,50000309,50000300_1,,50000302_11,50000303_11,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_12,,500003_12,,500003,12,1,,,,,,,"15,748",1,50000308,50000309,50000300_1,,50000302_12,50000303_12,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_13,,500003_13,,500003,13,1,,,,,,,"17,212",1,50000308,50000309,50000300_1,,50000302_13,50000303_13,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_14,,500003_14,,500003,14,1,,,,,,,"18,731",1,50000308,50000309,50000300_1,,50000302_14,50000303_14,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
