key,Remarks,Id,enterStartPosX,camStartPosX,fov,camPosX,camPosY,camPosZ,camRotateX,camRotateY,camRotateZ,BossBattle,LockCamera,BattleOffset,fightBoundary,BGM
id_1,,id_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_2,,id_2,,,36,-1,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_3,,id_3,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_4,,id_4,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_5,,id_5,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_6,,id_6,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_7,,id_7,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
id_8,,id_8,,,36,-5.17,7.29,-14.43,24.76,42.05,,,1,3,5,Scene/Battle/bg_boss2.mp3
id_9,,id_9,,,36,-26,4.46,3.46,,-18.92,,1,1,3,5,Scene/Battle/bg_boss2.mp3
id_10,,id_10,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_boss2.mp3
id_11,,id_11,,,36,-1.15,5.98,-14.22,24.76,27.46,,,1,3,5,Scene/Battle/bg_boss2.mp3
id_12,,id_12,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
id_13,,id_13,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
id_14,,id_14,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
id_15,,id_15,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
id_16,,id_16,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
id_17,,id_17,,,36,4.6,1,7,-23,78.5,,1,1,3,5,Scene/Battle/bg_boss2.mp3
id_18,,id_18,,,36,0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_boss2.mp3
