key,remarks,itemID,itemNum,vipLimit
2015_6_1,,2,20,1
2015_6_2,,602003,1,
2015_6_3,,602004,1,2
2015_6_4,,803001,5,3
2015_6_5,,803001,10,
2015_6_6,,803001,15,4
2015_6_7,,2,30,
2015_6_8,,2,30,5
2015_6_9,,602006,1,6
2015_6_10,,602007,1,
2015_6_11,,803002,5,7
2015_6_12,,803002,10,
2015_6_13,,803002,15,8
2015_6_14,,2,50,9
2015_6_15,,2,50,
2015_6_16,,602008,1,10
2015_6_17,,602009,1,
2015_6_18,,801002,5,11
2015_6_19,,801002,10,12
2015_6_20,,801002,15,
2015_6_21,,2,80,13
2015_6_22,,2,80,
2015_6_23,,602011,1,14
2015_6_24,,602012,1,15
2015_6_25,,802002,5,
2015_6_26,,802002,10,15
2015_6_27,,802002,15,
2015_6_28,,2,100,15
2015_6_29,,2,100,15
2015_6_30,,602001,1,
2015_7_1,,802001,5,1
2015_7_2,,2,50,
2015_7_3,,204004_1,1,2
2015_7_4,,804001,5,
2015_7_5,,803001,5,3
2015_7_6,,704011,3,4
2015_7_7,,801001,5,
2015_7_8,,802002,2,5
2015_7_9,,2,80,
2015_7_10,,704011,3,6
2015_7_11,,804002,2,
2015_7_12,,803002,2,7
2015_7_13,,704011,4,8
2015_7_14,,801002,2,
2015_7_15,,802002,3,9
2015_7_16,,2,100,
2015_7_17,,704011,4,10
2015_7_18,,804002,3,
2015_7_19,,803002,3,11
2015_7_20,,704011,4,12
2015_7_21,,801002,3,
2015_7_22,,802002,3,15
2015_7_23,,2,120,
2015_7_24,,704011,4,14
2015_7_25,,804002,3,
2015_7_26,,803002,3,15
2015_7_27,,704011,4,15
2015_7_28,,801002,3,
2015_7_29,,802002,3,15
2015_7_30,,2,150,
2015_7_31,,704011,4,15
2015_8_1,,802001,5,1
2015_8_2,,2,50,
2015_8_3,,204004_1,1,2
2015_8_4,,804001,5,
2015_8_5,,803001,5,3
2015_8_6,,704011,3,4
2015_8_7,,801001,5,
2015_8_8,,802002,2,5
2015_8_9,,2,80,
2015_8_10,,704011,3,6
2015_8_11,,804002,2,
2015_8_12,,803002,2,7
2015_8_13,,704011,4,8
2015_8_14,,801002,2,
2015_8_15,,802002,3,9
2015_8_16,,2,100,
2015_8_17,,704011,4,10
2015_8_18,,804002,3,
2015_8_19,,803002,3,11
2015_8_20,,704011,4,12
2015_8_21,,801002,3,
2015_8_22,,802002,3,15
2015_8_23,,2,120,
2015_8_24,,704011,4,14
2015_8_25,,804002,3,
2015_8_26,,803002,3,15
2015_8_27,,704011,4,15
2015_8_28,,801002,3,
2015_8_29,,802002,3,15
2015_8_30,,2,150,
2015_8_31,,704011,4,15
2015_9_1,,802001,5,1
2015_9_2,,2,50,
2015_9_3,,204004_1,1,2
2015_9_4,,804001,5,
2015_9_5,,803001,5,3
2015_9_6,,704011,3,4
2015_9_7,,801001,5,
2015_9_8,,802002,2,5
2015_9_9,,2,80,
2015_9_10,,704011,3,6
2015_9_11,,804002,2,
2015_9_12,,803002,2,7
2015_9_13,,704011,4,8
2015_9_14,,801002,2,
2015_9_15,,802002,3,9
2015_9_16,,2,100,
2015_9_17,,704011,4,10
2015_9_18,,804002,3,
2015_9_19,,803002,3,11
2015_9_20,,704011,4,12
2015_9_21,,801002,3,
2015_9_22,,802002,3,15
2015_9_23,,2,120,
2015_9_24,,704011,4,14
2015_9_25,,804002,3,
2015_9_26,,803002,3,15
2015_9_27,,704011,4,15
2015_9_28,,801002,3,
2015_9_29,,802002,3,15
2015_9_30,,2,150,
2015_9_31,,704011,4,15
2015_10_1,,802001,5,1
2015_10_2,,2,50,
2015_10_3,,204004_1,1,2
2015_10_4,,804001,5,
2015_10_5,,803001,5,3
2015_10_6,,704011,3,4
2015_10_7,,801001,5,
2015_10_8,,802002,2,5
2015_10_9,,2,80,
2015_10_10,,704011,3,6
2015_10_11,,804002,2,
2015_10_12,,803002,2,7
2015_10_13,,704011,4,8
2015_10_14,,801002,2,
2015_10_15,,802002,3,9
2015_10_16,,2,100,
2015_10_17,,704011,4,10
2015_10_18,,804002,3,
2015_10_19,,803002,3,11
2015_10_20,,704011,4,12
2015_10_21,,801002,3,
2015_10_22,,802002,3,15
2015_10_23,,2,120,
2015_10_24,,704011,4,14
2015_10_25,,804002,3,
2015_10_26,,803002,3,15
2015_10_27,,704011,4,15
2015_10_28,,801002,3,
2015_10_29,,802002,3,15
2015_10_30,,2,150,
2015_10_31,,704011,4,15
2015_11_1,,802001,5,1
2015_11_2,,2,50,
2015_11_3,,204004_1,1,2
2015_11_4,,804001,5,
2015_11_5,,803001,5,3
2015_11_6,,704011,3,4
2015_11_7,,801001,5,
2015_11_8,,802002,2,5
2015_11_9,,2,80,
2015_11_10,,704011,3,6
2015_11_11,,804002,2,
2015_11_12,,803002,2,7
2015_11_13,,704011,4,8
2015_11_14,,801002,2,
2015_11_15,,802002,3,9
2015_11_16,,2,100,
2015_11_17,,704011,4,10
2015_11_18,,804002,3,
2015_11_19,,803002,3,11
2015_11_20,,704011,4,12
2015_11_21,,801002,3,
2015_11_22,,802002,3,15
2015_11_23,,2,120,
2015_11_24,,704011,4,14
2015_11_25,,804002,3,
2015_11_26,,803002,3,15
2015_11_27,,704011,4,15
2015_11_28,,801002,3,
2015_11_29,,802002,3,15
2015_11_30,,2,150,
2015_11_31,,704011,4,15
2015_12_1,,802001,5,1
2015_12_2,,2,50,
2015_12_3,,204004_1,1,2
2015_12_4,,804001,5,
2015_12_5,,803001,5,3
2015_12_6,,704011,3,4
2015_12_7,,801001,5,
2015_12_8,,802002,2,5
2015_12_9,,2,80,
2015_12_10,,704011,3,6
2015_12_11,,804002,2,
2015_12_12,,803002,2,7
2015_12_13,,704011,4,8
2015_12_14,,801002,2,
2015_12_15,,802002,3,9
2015_12_16,,2,100,
2015_12_17,,704011,4,10
2015_12_18,,804002,3,
2015_12_19,,803002,3,11
2015_12_20,,704011,4,12
2015_12_21,,801002,3,
2015_12_22,,802002,3,15
2015_12_23,,2,120,
2015_12_24,,704011,4,14
2015_12_25,,804002,3,
2015_12_26,,803002,3,15
2015_12_27,,704011,4,15
2015_12_28,,801002,3,
2015_12_29,,802002,3,15
2015_12_30,,2,350,
2015_12_31,,2,100,15
2016_1_1,,802001,5,
2016_1_2,,704002,80,
2016_1_3,,804001,50,
2016_1_4,,704002,80,
2016_1_5,,803001,100,
2016_1_6,,704002,80,
2016_1_7,,704002,90,
2016_1_8,,204004_1,1,
2016_1_9,,2,80,
2016_1_10,,704011,3,6
2016_1_11,,804002,2,
2016_1_12,,803002,2,7
2016_1_13,,704011,4,8
2016_1_14,,801002,2,
2016_1_15,,802002,3,9
2016_1_16,,2,100,
2016_1_17,,704011,4,10
2016_1_18,,804002,3,
2016_1_19,,803002,3,11
2016_1_20,,704011,4,12
2016_1_21,,801002,3,
2016_1_22,,802002,3,15
2016_1_23,,2,120,
2016_1_24,,704011,4,14
2016_1_25,,804002,3,
2016_1_26,,803002,3,15
2016_1_27,,704011,4,15
2016_1_28,,801002,3,
2016_1_29,,802002,3,15
2016_1_30,,2,350,
2016_1_31,,2,350,15
2016_2_1,,802001,5,1
2016_2_2,,2,500,
2016_2_3,,204004_3,1,2
2016_2_4,,804001,50,
2016_2_5,,803001,100,3
2016_2_6,,704011,100,9
