key,Remarks,id,name,qualityBg,maxAttachLevel,attachId,careerName,careerIcon
0,,0,,bg_head_BaiSe,,,"新手,力士,行者,术士,符师,祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_01,JiaoBiao_XingZhe_01,JiaoBiao_ShuShi_01,JiaoBiao_FuShi_01,JiaoBiao_JiSi_01"
1,,1,,bg_head_LvSe_01,2,1000,"新手,力士,行者,术士,符师,祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_01,JiaoBiao_XingZhe_01,JiaoBiao_ShuShi_01,JiaoBiao_FuShi_01,JiaoBiao_JiSi_01"
2,,2,,bg_head_LvSe_02,2,1000,"新手,力士,行者,术士,符师,祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_01,JiaoBiao_XingZhe_01,JiaoBiao_ShuShi_01,JiaoBiao_FuShi_01,JiaoBiao_JiSi_01"
3,,3,,bg_head_LanSe_01,3,2000,"新手,金刚力士,修罗行者,地元术士,灵符师,大祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_02,JiaoBiao_XingZhe_02,JiaoBiao_ShuShi_02,JiaoBiao_FuShi_02,JiaoBiao_JiSi_02"
4,,4,,bg_head_LanSe_02,3,2000,"新手,金刚力士,修罗行者,地元术士,灵符师,大祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_02,JiaoBiao_XingZhe_02,JiaoBiao_ShuShi_02,JiaoBiao_FuShi_02,JiaoBiao_JiSi_02"
5,,5,,bg_head_LanSe_03,3,2000,"新手,金刚力士,修罗行者,地元术士,灵符师,大祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_02,JiaoBiao_XingZhe_02,JiaoBiao_ShuShi_02,JiaoBiao_FuShi_02,JiaoBiao_JiSi_02"
6,,6,,bg_head_ZiSe_01,5,3000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_03,JiaoBiao_JiSi_03"
7,,7,,bg_head_ZiSe_02,5,3000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_03,JiaoBiao_JiSi_03"
8,,8,,bg_head_ZiSe_03,5,3000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_03,JiaoBiao_JiSi_03"
9,,9,,bg_head_ZiSe_03,5,3000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_03,JiaoBiao_JiSi_03"
10,,10,,bg_head_ZiSe_03,5,3000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_04,JiaoBiao_JiSi_03"
11,,11,,bg_head_HuangSe,5,4000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_05,JiaoBiao_JiSi_03"
12,,12,,bg_head_HuangSe,5,4000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_06,JiaoBiao_JiSi_03"
13,,13,,bg_head_HuangSe,5,4000,"新手,神武力士,碎空行者,天元术士,天符师,天命祭祀","JiaoBiao_Chu,JiaoBiao_LiShi_03,JiaoBiao_XingZhe_03,JiaoBiao_ShuShi_03,JiaoBiao_FuShi_07,JiaoBiao_JiSi_03"
