key,Remarks,heroModelId,fettersId
202001,,202001,4
202002,,202002,"1,4"
201001,,201001,4
204001,,204001,4
201005,,201005,"3,6"
201004,,201004,"1,4"
202004,,202004,4
204004,,204004,"1,4"
202006,,202006,4
204003,,204003,4
203002,,203002,"2,5"
203003,,203003,"3,6"
200002,,200002,"2,5"
204006,,204006,"3,6"
200001,,200001,"1,4"
200003,,200003,4
202005,,202005,4
200009,,200009,4
200004,,200004,"3,6"
200010,,200010,4
204005,,204005,"2,5"
201007,,201007,5
203010,,203010,4
204002,,204002,6
203013,,203013,5
203004,,203004,6
200012,,200012,5
201012,,201012,5
200011,,200011,5
203011,,203011,4
204008,,204008,5
203007,,203007,5
202003,,202003,"2,5"
202010,,202010,4
