key,Remarks,subConditionId,subConditionRestrictType,subConditionRestrictValue,subConditionValue
10101,,10101,3,2,1_1
10102,,10102,3,2,1_2
10103,,10103,3,2,1_3
10104,,10104,3,2,1_4
10105,,10105,3,2,1_5
10106,,10106,3,2,1_6
10107,,10107,3,2,1_7
10108,,10108,3,2,1_8
10109,,10109,3,2,1_9
10110,,10110,3,2,1_10
10111,,10111,3,2,1_11
10201,,10201,3,2,2_1
10202,,10202,3,2,2_2
10203,,10203,3,2,2_3
10204,,10204,3,2,2_4
10205,,10205,3,2,2_5
10301,,10301,3,3,3_10
10302,,10302,3,3,3_15
10303,,10303,3,3,3_20
10304,,10304,3,3,3_25
10305,,10305,3,3,3_30
10306,,10306,3,3,3_35
10307,,10307,3,3,3_40
10308,,10308,3,3,3_45
10309,,10309,3,3,3_50
10401,,10401,3,3,4_3000
10402,,10402,3,3,4_5000
10403,,10403,3,3,4_7000
10404,,10404,3,3,4_9000
10405,,10405,3,3,4_11000
10406,,10406,3,3,4_13000
10407,,10407,3,3,4_15000
10408,,10408,3,3,4_17000
10409,,10409,3,3,4_19000
10410,,10410,3,3,4_21000
10501,,10501,3,2,1_1
10502,,10502,3,2,1_2
10503,,10503,3,2,1_3
10504,,10504,3,2,1_4
10505,,10505,3,2,1_5
10506,,10506,3,3,1_6
10507,,10507,3,3,1_7;2_1
10508,,10508,3,3,1_8;2_2
10509,,10509,3,3,1_9;2_3
10510,,10510,3,3,1_10;2_4
10511,,10511,3,3,1_11;2_5
10601,,10601,3,2,4_3000
10602,,10602,3,2,4_5000;3_10
10603,,10603,3,2,4_7000;3_15
10604,,10604,3,2,4_9000;3_20
10605,,10605,3,2,4_11000;3_25
10606,,10606,3,3,4_13000;3_30
10607,,10607,3,3,4_15000;3_35
10608,,10608,3,3,4_17000;3_40
10609,,10609,3,4,4_19000;3_45
10610,,10610,3,5,4_21000;3_50
