key,Remarks,times,needPurse,coin,critPercent1,critPercent2,critPercent3,critPercent4,critPercent5,critPercent6,critPercent7,critPercent8,critPercent9,critPercent10
1,,1,10,20000,7000,2000,500,250,125,60,30,20,10,5
2,,2,10,20200,7000,2000,500,250,125,60,30,20,10,5
3,,3,10,20400,7000,2000,500,250,125,60,30,20,10,5
4,,4,20,20600,7000,2000,500,250,125,60,30,20,10,5
5,,5,20,20800,7000,2000,500,250,125,60,30,20,10,5
6,,6,20,21000,7000,2000,500,250,125,60,30,20,10,5
7,,7,20,21200,7000,2000,500,250,125,60,30,20,10,5
8,,8,20,21400,7000,2000,500,250,125,60,30,20,10,5
9,,9,50,21600,7000,2000,500,250,125,60,30,20,10,5
10,,10,50,21800,7000,2000,500,250,125,60,30,20,10,5
11,,11,50,22000,7000,2000,500,250,125,60,30,20,10,5
12,,12,50,22200,7000,2000,500,250,125,60,30,20,10,5
13,,13,50,22400,7000,2000,500,250,125,60,30,20,10,5
14,,14,50,22600,7000,2000,500,250,125,60,30,20,10,5
15,,15,50,22800,7000,2000,500,250,125,60,30,20,10,5
16,,16,50,23000,7000,2000,500,250,125,60,30,20,10,5
17,,17,50,23200,7000,2000,500,250,125,60,30,20,10,5
18,,18,50,23400,7000,2000,500,250,125,60,30,20,10,5
19,,19,100,23600,7000,2000,500,250,125,60,30,20,10,5
20,,20,100,23800,7000,2000,500,250,125,60,30,20,10,5
21,,21,100,24000,7000,2000,500,250,125,60,30,20,10,5
22,,22,100,24200,7000,2000,500,250,125,60,30,20,10,5
23,,23,100,24400,7000,2000,500,250,125,60,30,20,10,5
24,,24,100,24600,7000,2000,500,250,125,60,30,20,10,5
25,,25,100,24800,7000,2000,500,250,125,60,30,20,10,5
26,,26,100,25000,7000,2000,500,250,125,60,30,20,10,5
27,,27,100,25200,7000,2000,500,250,125,60,30,20,10,5
28,,28,100,25400,7000,2000,500,250,125,60,30,20,10,5
29,,29,100,25600,7000,2000,500,250,125,60,30,20,10,5
30,,30,100,25800,7000,2000,500,250,125,60,30,20,10,5
31,,31,100,26000,7000,2000,500,250,125,60,30,20,10,5
32,,32,100,26200,7000,2000,500,250,125,60,30,20,10,5
33,,33,100,26400,7000,2000,500,250,125,60,30,20,10,5
34,,34,100,26600,7000,2000,500,250,125,60,30,20,10,5
35,,35,100,26800,7000,2000,500,250,125,60,30,20,10,5
36,,36,100,27000,7000,2000,500,250,125,60,30,20,10,5
37,,37,100,27200,7000,2000,500,250,125,60,30,20,10,5
38,,38,100,27400,7000,2000,500,250,125,60,30,20,10,5
39,,39,100,27600,7000,2000,500,250,125,60,30,20,10,5
40,,40,100,27800,7000,2000,500,250,125,60,30,20,10,5
41,,41,100,28000,7000,2000,500,250,125,60,30,20,10,5
42,,42,100,28200,7000,2000,500,250,125,60,30,20,10,5
