key,Remarks,fettersId,heroModelId,fettersName,fettersDesc,fettersIcon,fettersConditions,fettersHeroId,seq
20200101,,20200101,202001,陈塘之行,在陈塘关结识了哪吒，成为好友,fetters/fetter_1001,20200101,"202001,202002",1
20200102,,20200102,202001,昆仑挚友Ⅰ,天资聪颖的昆仑弟子，惺惺相惜,fetters/fetter_1004,20200102,"202001,201001",2
20200103,,20200103,202001,昆仑挚友Ⅱ,同是自由驾驭自然之力的昆仑弟子,fetters/fetter_1001,20200103,"202001,202004",3
20200104,,20200104,202001,人界师徒,武吉是姜子牙的徒弟，十分崇拜姜子牙,fetters/fetter_1001,20200104,"202001,204003",4
20200105,,20200105,202001,少年行,年轻气盛的少年道士,fetters/fetter_1005,20200105,"202001,200001",5
20200201,,20200201,202002,踏焰追风,脚踏烈焰，追风裂云,fetters/fetter_1001,20200201,"202002,202006",1
20200202,,20200202,202002,枪火,枪法出众,fetters/fetter_1008,20200202,"202002,201001",2
20200203,,20200203,202002,天真少年,内心十分天真,fetters/fetter_1001,20200203,"202002,204003",3
20200204,,20200204,202002,势如水火,势如水火的父子二人,fetters/fetter_1006,20200204,"202002,204004",4
20200205,,20200205,202002,兄弟,陈塘关两兄弟，金吒为哪吒的长兄,fetters/fetter_1001,20200205,"202002,200001",5
20200401,,20200401,202004,昆仑翘楚,昆仑山实力拔尖的弟子,fetters/fetter_1001,20200401,"202004,202002",1
20200402,,20200402,202004,三代弟子,昆仑山第三代弟子,fetters/fetter_1012,20200402,"202004,201001",2
20200403,,20200403,202004,独行侠,让人捉摸不透的人,fetters/fetter_1001,20200403,"202004,204005",3
20200404,,20200404,202004,驭道弟子,自由驾驭自然之力道法的昆仑弟子,fetters/fetter_1001,20200404,"202004,202001",4
20200405,,20200405,202004,生灵,天赋异禀，据说可与所有生灵为伴,fetters/fetter_1011,20200405,"202004,204001",5
20000101,,20000101,200001,神力,天生神力,fetters/fetter_1013,20000101,"200001,200009",1
20000102,,20000102,200001,奇门法宝,持有奇怪法宝的人,fetters/fetter_1005,20000102,"200001,200004",2
20000103,,20000103,200001,金雷苍穹,金引雷元，雷炼金魂,fetters/fetter_1001,20000103,"200001,200011",3
20000104,,20000104,200001,金木兄弟,陈塘关金木兄弟,fetters/fetter_1001,20000104,"200001,201004",4
20000105,,20000105,200001,长子,陈塘关父子，金吒为李靖长子,fetters/fetter_1006,20000105,"200001,204004",5
20200501,,20200501,202005,飞影,飞行之人,fetters/fetter_1010,20200501,"202005,203004",1
20200502,,20200502,202005,乘风,乘风之力,fetters/fetter_1016,20200502,"202005,201005",2
20200503,,20200503,202005,刀锋书影,昆仑山上一对奇怪的组合,fetters/fetter_1014,20200503,"202005,203010",3
20200504,,20200504,202005,昆仑好友,在昆仑山上关系要好的二人,fetters/fetter_1002,20200504,"202005,202001",4
20200505,,20200505,202005,云中师徒,师徒二人,fetters/fetter_1001,20200505,"202005,202004",5
20001201,,20001201,200012,金鳌强者,金鳌岛的强者,fetters/fetter_1017,20001201,"200012,203004",1
20001202,,20001202,200012,固执,固执且难以接近,fetters/fetter_1019,20001202,"200012,204004",2
20001203,,20001203,200012,剑术,擅用大剑,fetters/fetter_1020,20001203,"200012,200010",3
20001204,,20001204,200012,幽冥,幽冥鬼力,fetters/fetter_1018,20001204,"200012,201007",4
20001205,,20001205,200012,冥主,戏黄泉，游碧落,fetters/fetter_1001,20001205,"200012,203002",5
20100101,,20100101,201001,枪火,枪法出众,fetters/fetter_1008,20100101,"201001,202002",1
20100102,,20100102,201001,三代弟子,昆仑山第三代弟子,fetters/fetter_1012,20100102,"201001,202004",2
20100103,,20100103,201001,傲娇,麻烦的傲娇性格,fetters/fetter_1001,20100103,"201001,203013",3
20100104,,20100104,201001,仙才,出众的天资,fetters/fetter_1023,20100104,"201001,204001",4
20100105,,20100105,201001,道法,道法出众，天资聪颖的昆仑弟子,fetters/fetter_1004,20100105,"201001,202001",5
20100501,,20100501,201005,风雷,乘风奔雷裂苍穹,fetters/fetter_1001,20100501,"201005,203013",1
20100502,,20100502,201005,青影海音,魔家四将中的刀琴二人组！,fetters/fetter_1001,20100502,"201005,200004",2
20100503,,20100503,201005,刀光,耀目的刀光,fetters/fetter_1025,20100503,"201005,203010",3
20100504,,20100504,201005,游刃舞伞,伞与刀的组合，似乎很诗意？,fetters/fetter_1001,20100504,"201005,204006",4
20100505,,20100505,201005,乘风,乘风之力,fetters/fetter_1016,20100505,"201005,201004",5
20100401,,20100401,201004,陈塘兄弟,陈塘关兄弟,fetters/fetter_1001,20100401,"201004,202002",1
20100402,,20100402,201004,绿雾,幽幽绿雾，如魑如魅,fetters/fetter_1001,20100402,"201004,203002",2
20100403,,20100403,201004,乘风,乘风之力,fetters/fetter_1016,20100403,"201004,201005",3
20100404,,20100404,201004,不拘,不拘小节性格跳脱,fetters/fetter_1027,20100404,"201004,204003",4
20100405,,20100405,201004,金木兄弟,陈塘关感情深厚的两兄弟,fetters/fetter_1001,20100405,"201004,200001",5
20200601,,20200601,202006,镇妖,拥有佛光镇妖之力,fetters/fetter_1029,20200601,"202006,204004",1
20200602,,20200602,202006,骄傲,骄傲的人，优雅的人,fetters/fetter_1021,20200602,"202006,204005",2
20200603,,20200603,202006,剑术,擅用大剑,fetters/fetter_1020,20200603,"202006,200010",3
20200604,,20200604,202006,焰心,火焰之力,fetters/fetter_1028,20200604,"202006,201012",4
20200605,,20200605,202006,仙人兄妹,昆仑山仙人，兄妹情深,fetters/fetter_1001,20200605,"202006,204001",5
20400301,,20400301,204003,三代弟子,昆仑山第三代弟子,fetters/fetter_1012,20400301,"204003,201001",1
20400302,,20400302,204003,神力,天生神力,fetters/fetter_1013,20400302,"204003,200010",2
20400303,,20400303,204003,拳家,拳术大家,fetters/fetter_1030,20400303,"204003,200002",3
20400304,,20400304,204003,蛮力,天生神力,fetters/fetter_1001,20400304,"204003,200011",4
20400305,,20400305,204003,不拘,不拘小节性格跳脱,fetters/fetter_1027,20400305,"204003,201004",5
20100701,,20100701,201007,幽冥,幽冥鬼力,fetters/fetter_1018,20100701,"201007,200012",1
