Key,remark,level,levelGroupId,dropDiamondId,robDiamond,productRatio,robRatio,groupSupplyRatio,robGSRatio,groupExpRatio,robGERatio,dropIdBasedOnJoinTime
1,,39,1,1,2,"0.00059914 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
2,,50,1,1,2,"0.00044649 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
3,,60,1,1,2,"0.00036181 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
4,,70,1,1,2,"0.00032204 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
5,,80,1,1,2,"0.00029284 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
6,,90,1,1,2,"0.00026351 ",500,0.16666666666666666,0,0.26666666666666666,0,120_1;480_2;600_3
7,,39,2,1,2,"0.00000557 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
8,,50,2,1,2,"0.00000346 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
9,,60,2,1,2,"0.00000256 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
10,,70,2,1,2,"0.00000213 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
11,,80,2,1,2,"0.00000184 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
12,,90,2,1,2,"0.00000159 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
13,,39,3,1,2,"0.00000512 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
14,,50,3,1,2,"0.00000337 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
15,,60,3,1,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
16,,70,3,1,2,"0.00000217 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
17,,80,3,1,2,"0.00000239 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
18,,90,3,1,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
19,,39,4,2,2,"0.00059914 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
20,,50,4,2,2,"0.00044649 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
21,,60,4,2,2,"0.00036181 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
22,,70,4,2,2,"0.00032204 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
23,,80,4,2,2,"0.00029284 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
24,,90,4,2,2,"0.00026351 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
25,,39,5,2,2,"0.00000557 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
26,,50,5,2,2,"0.00000346 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
27,,60,5,2,2,"0.00000256 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
28,,70,5,2,2,"0.00000213 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
29,,80,5,2,2,"0.00000184 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
30,,90,5,2,2,"0.00000159 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
31,,39,6,2,2,"0.00000512 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
32,,50,6,2,2,"0.00000337 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
33,,60,6,2,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
34,,70,6,2,2,"0.00000217 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
35,,80,6,2,2,"0.00000239 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
36,,90,6,2,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
37,,39,7,3,2,"0.00059914 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
38,,50,7,3,2,"0.00044649 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
39,,60,7,3,2,"0.00036181 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
40,,70,7,3,2,"0.00032204 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
41,,80,7,3,2,"0.00029284 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
42,,90,7,3,2,"0.00026351 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
43,,39,8,3,2,"0.00000557 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
44,,50,8,3,2,"0.00000346 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
45,,60,8,3,2,"0.00000256 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
46,,70,8,3,2,"0.00000213 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
47,,80,8,3,2,"0.00000184 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
48,,90,8,3,2,"0.00000159 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
49,,39,9,3,2,"0.00000512 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
50,,50,9,3,2,"0.00000337 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
51,,60,9,3,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
52,,70,9,3,2,"0.00000217 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
53,,80,9,3,2,"0.00000239 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
54,,90,9,3,2,"0.00000254 ",500,0.16666666666666699,0,0.266666666666667,0,120_1;480_2;600_3
