key,Remarks,id,magicType,relatedEffectId,summonId,effectName,duration
10200100,,10200100,1,,,,
10200101,,10200101,1,,,,
10200301,,10200301,1,,,,
10200401,,10200401,1,,,,
10200501,,10200501,1,,,,
10201501,,10201501,1,,,,
10201601,,10201601,1,,,,
10200201,,10200201,2,,500005,,
10200207,,10200207,2,,500005,,
10200901,,10200901,2,,500004,,
10200907,,10200907,2,,500004,,
10201401,,10201401,2,,301108,,
10201407,,10201407,2,,301108,,
10201701,,10201701,2,,301017,,
10201707,,10201707,2,,301017,,
10200701,,10200701,3,,,Common/fx_700012_skill01,10
10201001,,10201001,3,,,Common/fx_700007_skill01,10
10201201,,10201201,3,,,Common/fx_700010_skill01,10
10201301,,10201301,3,,,Common/fx_700013_skill01,10
10202701,,10202701,3,,,Common/fx_700003_skill01,10
10300101,,10300101,1,,,,
10300107,,10300107,1,,,,
10300201,,10300201,1,,,,
10300207,,10300207,1,,,,
10300301,,10300301,1,,,,
10300307,,10300307,1,,,,
10300401,,10300401,1,,,,
10300407,,10300407,1,,,,
10310101,,10310101,1,,,,
10310107,,10310107,1,,,,
10310201,,10310201,1,,,,
10310207,,10310207,1,,,,
10300501,,10300501,3,,,Common/fx_601005_skill01,10
10300601,,10300601,3,,,Common/fx_601006_skill01,10
10300701,,10300701,3,,,Common/fx_601007_skill01,10
10300801,,10300801,3,,,Common/fx_601008_skill01,10
10310501,,10310501,3,,,Common/fx_601105_skill01,10
10310601,,10310601,3,,,Common/fx_601106_skill01,10
10310701,,10310701,3,,,Common/fx_601107_skill01,10
10310801,,10310801,3,,,Common/fx_601108_skill01,10
